TOWN,Year,kWh Usage: Commercial,kWh Usage: Residential,kWh Savings: Commercial,kWh Savings: Residential,Number of Households,Average Residential kWh Usage/ Household,Average Residential kWh Savings/ Household,Savings as % of Usage,MMBtu Savings: Commercial,MMBtu Savings: Residential
ADDISON,01/01/2011 12:00:00 AM,3258405,3743341,202118,175009,479,7815,365,5%,1,311
ALBANY,01/01/2011 12:00:00 AM,494535,2545223,9383,26259,482,5281,54,1%,0,0
ALBURG,01/01/2011 12:00:00 AM,3715648,7443534,79769,83056,1332,5588,62,1%,-6,13
ANDOVER,01/01/2011 12:00:00 AM,31381,1717580,6100,11225,288,5964,39,1%,0,125
ARLINGTON,01/01/2011 12:00:00 AM,16727294,9319063,155086,277577,1297,7185,214,3%,8,184
ASCUTNEY,01/01/2011 12:00:00 AM,1913071,2043246,1051,21761,296,6903,74,1%,-1,1
ATHENS,01/01/2011 12:00:00 AM,55665,497220,0,1794,95,5234,19,0%,0,0
AVERILL,01/01/2011 12:00:00 AM,29153,86292,0,0,48,1798,0,0%,0,0
BAKERSFIELD,01/01/2011 12:00:00 AM,626480,3042420,15311,39273,389,7821,101,1%,82,-1
BALTIMORE,01/01/2011 12:00:00 AM,7389,261395,0,831,38,6879,22,0%,0,49
BARNARD,01/01/2011 12:00:00 AM,1266275,4230384,0,27042,634,6673,43,1%,0,129
BARNET,01/01/2011 12:00:00 AM,1785822,5357707,3204,118841,817,6558,145,2%,-2,-5
BARRE,01/01/2011 12:00:00 AM,47623270,43010854,1447138,1701516,6238,6895,273,4%,1976,308
BARTON,01/01/2011 12:00:00 AM,3415271,6884814,90439,110826,1398,4925,79,2%,-35,-7
BELLOWS FALLS,01/01/2011 12:00:00 AM,16604847,14677052,67417,151696,2089,7026,73,1%,-43,124
BELMONT,01/01/2011 12:00:00 AM,98190,105148,0,9220,19,5534,485,9%,0,0
BELVIDERE CENTER,01/01/2011 12:00:00 AM,70404,1020873,7826,17519,181,5640,97,2%,0,-3
BENNINGTON,01/01/2011 12:00:00 AM,89120216,40707510,1881694,1662614,5855,6953,284,4%,7079,453
BENSON,01/01/2011 12:00:00 AM,610835,1714793,7463,26323,300,5716,88,2%,-6,-1
BERKSHIRE,01/01/2011 12:00:00 AM,3364769,4848633,215697,36060,588,8246,61,1%,-4,6
BERLIN,01/01/2011 12:00:00 AM,36244674,6866419,731917,182288,910,7546,200,3%,418,453
BETHEL,01/01/2011 12:00:00 AM,17152838,6149921,94730,125313,927,6634,135,2%,-28,473
BLOOMFIELD,01/01/2011 12:00:00 AM,260399,722449,0,2670,140,5160,19,0%,0,0
BOLTON ,01/01/2011 12:00:00 AM,2658385,3813256,1352,16642,562,6785,30,0%,-1,93
BOMOSEEN,01/01/2011 12:00:00 AM,383066,3570857,0,88672,684,5221,130,2%,0,51
BONDVILLE,01/01/2011 12:00:00 AM,1443689,3177963,0,48479,400,7945,121,2%,0,-3
BRADFORD,01/01/2011 12:00:00 AM,9020068,7752996,338538,358356,1202,6450,298,5%,-23,19
BRAINTREE,01/01/2011 12:00:00 AM,491485,1310704,43481,30481,217,6040,140,2%,-3,99
BRANDON,01/01/2011 12:00:00 AM,11623914,16623318,54294,307919,2265,7339,136,2%,86,383
BRATTLEBORO,01/01/2011 12:00:00 AM,134932041,38994690,2753038,1433791,6217,6272,231,4%,-928,1055
BRIDGEWATER,01/01/2011 12:00:00 AM,2887577,3915852,15822,13392,553,7081,24,0%,0,85
