Week of,Rack 1,#1 Kerosene,#2 Fuel,#2 Diesel,ULS Deisel,Rack 2,#4 Fuel,#6 Fuel (1%),Rack 3,#6 Fuel (.5%),#6 Fuel (2%),Rack 4,Unleaded,Midgrade,Premium,Rack 5,LP Gas
01/15/2017 12:00:00 AM,ALBANY,2.0412,1.6905,1.7318,1.7318,BOSTON,1.6524,1.4952,BOSTON,1.7915,1.2571,ALBANY,1.6201,1.7102,1.9887,SELKIRK,0.9919
10/23/2016 12:00:00 AM,ALBANY,1.9588,1.6046,1.6590,1.6590,BOSTON,1.4333,1.2548,BOSTON,1.3833,1.0167,ALBANY,1.5426,1.6428,1.9130,SELKIRK,0.7950
10/30/2016 12:00:00 AM,ALBANY,1.9280,1.5690,1.6330,1.6330,BOSTON,1.4024,1.2452,BOSTON,1.5717,1.0071,ALBANY,1.5282,1.6236,1.8958,SELKIRK,0.7928
11/06/2016 12:00:00 AM,ALBANY,1.8520,1.4892,1.5725,1.5725,BOSTON,1.3262,1.1833,BOSTON,1.5169,0.9452,ALBANY,1.5545,1.6534,1.9273,SELKIRK,0.7710
11/13/2016 12:00:00 AM,ALBANY,1.8254,1.4570,1.5308,1.5308,BOSTON,1.3571,1.1762,BOSTON,1.4955,0.9381,ALBANY,1.4436,1.5470,1.8166,SELKIRK,0.7315
11/20/2016 12:00:00 AM,ALBANY,1.8217,1.4619,1.5175,1.5175,BOSTON,1.3310,1.1690,BOSTON,1.4860,0.9310,ALBANY,1.3978,1.4975,1.7663,SELKIRK,0.7277
11/27/2016 12:00:00 AM,ALBANY,1.9109,1.5524,1.6175,1.6175,BOSTON,1.4262,1.2286,BOSTON,1.5425,0.9905,ALBANY,1.4636,1.5654,1.8313,SELKIRK,0.7365
12/04/2016 12:00:00 AM,ALBANY,1.9518,1.5870,1.6578,1.6578,BOSTON,1.4738,1.2833,BOSTON,1.6026,1.0452,ALBANY,1.5198,1.6269,1.8918,SELKIRK,0.7410
12/11/2016 12:00:00 AM,ALBANY,2.0016,1.6240,1.6784,1.6784,BOSTON,1.4952,1.3071,BOSTON,1.6235,1.0690,ALBANY,1.5404,1.6401,1.9108,SELKIRK,0.8235
12/25/2016 12:00:00 AM,ALBANY,2.0505,1.6596,1.7590,1.7590,BOSTON,1.6048,1.4310,BOSTON,1.7106,1.1929,ALBANY,1.6342,1.7353,2.0018,SELKIRK,0.8871
01/01/2017 12:00:00 AM,ALBANY,2.1066,1.7366,1.8425,1.8425,BOSTON,1.6762,1.4833,BOSTON,1.7636,1.2452,ALBANY,1.6977,1.7935,2.0652,SELKIRK,0.9159
