Town Name,Returns,Exempt,Adjusted Gross Income,Net Vermont Tax,Average AGI per Exemption,Median AGI per Return
Addison,634,1795,44085267,1205368,22179,58641
Albany,241,649,9856263,195120,15476,32531
Alburgh,524,1376,35958460,1131462,22738,51934
Andover,126,318,8324493,217842,24638,59193
Arlington,664,1774,46077415,1329084,23171,53033
Athens,79,223,4061614,80259,18214,44590
Bakersfield,358,998,25244531,677010,24477,63190
Baltimore,70,183,4085064,100432,22048,53633
Barnard,238,631,26865931,1210906,26289,66856
Barnet,443,1227,33494377,1083490,22522,56446
Barre City,1743,4738,91455513,2349016,19636,46296
Barre Town,2193,5876,173357710,5595819,26730,68772
Barton,446,1224,22605194,589003,17418,40934
Belvidere,83,238,4873224,125104,20075,53188
Bennington,3146,8546,199454001,5228971,20225,43734
Benson,248,669,14384876,389815,20579,46487
Berkshire,372,1051,22799588,758962,20737,51683
Berlin,658,1739,68309754,2801180,27120,66718
Bethel,516,1384,32039034,929451,21902,52922
Bloomfield,51,128,2516395,53823,19659,46729
Bolton,293,818,25449138,854578,27414,75582
Bradford,684,1850,41473364,1401172,21329,48675
Braintree,303,771,15272227,357817,20769,47955
Brandon,985,2650,61739661,1742726,22098,55075
Brattleboro,2461,6509,180685551,5680377,22891,50044
Bridgewater,220,551,16959536,576871,25057,59756
Bridport,310,853,29288306,1079699,22964,54831
Brighton,263,675,11116696,210705,16567,36553
Bristol,932,2519,65971414,1931737,24385,60895
Brookfield,336,866,27045905,886353,27258,63045
Brookline,140,397,8995588,208309,21998,57514
Brownington,235,657,11169726,233646,17001,44472
Burke,420,1127,27582327,821813,21380,50988
Burlington,5928,16567,611402089,23270645,26342,67386
Cabot,357,1006,20375055,526821,19617,46273
Calais,434,1147,32945644,1073200,25489,62560
Cambridge,953,2606,71541333,2250753,25220,65043
Canaan,227,600,10991248,244718,18319,39699
Castleton,868,2284,60861856,1754113,24335,59374
Cavendish,309,813,18627910,492503,21868,55394
Charleston,251,673,11727997,241166,17426,37782
Charlotte,1092,3189,206872337,10317080,34941,111371
Chelsea,307,835,19530324,499745,21051,49552
Chester,802,2137,52540318,1603969,21986,49700
Chittenden,757,2090,60740792,1923630,23588,57173
Clarendon,639,1690,43583200,1227931,24444,61819
Colchester,3908,10677,390594480,13882981,29507,79157
Concord,292,773,13447659,272536,17397,40238
Corinth,353,937,19242936,468796,20110,45947
Cornwall,327,940,42169958,1673454,30726,87016
Coventry,282,772,15256795,412118,19004,43034
Craftsbury,285,749,16662778,461673,20575,48003
Danby,343,926,21294201,548412,21708,54000
Danville,605,1617,48540269,1703495,23470,55862
Derby,1227,3270,84379883,2805989,21938,50594
Dorset,525,1427,59918808,2344371,28505,70371
Dover,329,835,20265448,599481,23728,52384
Dummerston,506,1331,45765125,1475616,28030,69074
Duxbury,344,926,30532416,1020489,29670,77824
East Haven,68,181,3363622,70705,18437,52176
East Montpelier,696,1912,64950095,2271367,28781,75241
Eden,316,854,14734416,297405,17253,42989
Elmore,217,614,20708784,756030,28368,81030
Enosburg,690,1911,41557333,1144226,20583,49691
