Town Name,Returns,Exempt,Married Joint,Single,Married Separate,Head of Household,Other State and Vermont Credits Number,Withheld,Estimated,Adjusted,No Tax,Earned Income Credit Number,Adjusted Gross Income,Federal Taxable Income,Vermont Taxable Income,Adjusted Vermont Tax,Other State and Vermont Credits Amount,Net Vermont Tax,Earned Income Credit Amount,Average AGI per Exemption
Addison,1883,2979,497,1187,47,152,58,1658,105,141,425,275,79253081,51838962,51863443,2233232,116794,2116438,153409,24865
Albany,451,839,192,203,7,49,9,352,33,13,136,100,16967276,10045598,10007627,401109,15107,386002,72857,19777
Alburgh,993,1824,431,453,19,90,65,826,80,25,243,184,44418393,32768854,33023945,1577063,100991,1476072,128214,24141
Andover,252,445,122,108,11,11,23,171,61,8,64,30,14413244,9587099,9595761,391831,33360,358471,21250,28409
Arlington,1327,2403,558,636,18,115,90,1039,152,44,344,219,70938211,47857741,48624767,2369985,253779,2116206,142227,25515
Athens,161,297,69,81,2,9,5,126,16,2,45,35,6267308,3677833,3666496,148462,7041,141421,22216,20933
Bakersfield,651,1265,303,284,11,53,13,573,34,6,120,85,34093146,22914380,22647277,984769,18741,966028,56995,25968
Baltimore,122,231,58,51,2,11,4,103,4,3,30,20,5893577,3828423,3824843,163420,3110,160310,11681,25323
Barnard,459,839,218,215,6,20,35,335,92,15,99,40,37924652,27739435,29641340,1867988,135040,1732948,21865,30358
Barnet,813,1573,372,353,18,70,27,626,87,28,199,151,40690640,26467906,26601459,1222273,62065,1160208,88767,24058
Barre City,4267,7161,1204,2506,66,491,56,3781,198,94,1003,825,164505149,105812343,105087643,4299206,42251,4256954,529721,23057
Barre Town,4206,7715,1865,1937,66,338,116,3685,407,89,740,432,243495553,168450380,168684054,7865575,157428,7708147,250563,28949
Barton,874,1589,340,418,15,101,14,715,63,18,259,193,38746748,25980994,25733467,1362076,30166,1331910,136327,20251
Belvidere,175,323,67,89,3,16,*,158,6,0,43,31,7067500,4382391,4370987,180348,0,180348,23015,21447
Bennington,7180,12486,2217,3897,117,949,745,5786,505,217,2161,1509,312050810,202109264,204062671,9774097,1402339,8371758,1041340,22443
Benson,477,874,208,232,8,29,30,383,22,13,122,80,22727056,15153170,15248415,598741,30276,568465,51563,23785
Berkshire,665,1350,295,283,8,79,14,574,52,16,155,130,32694430,21523332,21605665,986401,38181,948220,83538,22585
Berlin,1295,2342,515,617,20,143,35,1121,130,22,292,169,91316508,65345211,67003324,3881190,581743,3299447,105245,28480
Bethel,1027,1878,416,489,21,101,39,858,95,26,225,159,48496936,31098767,30986347,1327593,49079,1278514,109308,24832
Bloomfield,97,167,47,39,3,8,5,71,7,4,23,16,3902915,2336428,2300191,89403,5119,84284,9268,23371
Bolton,598,1082,253,289,16,40,28,547,56,14,74,53,37735516,26922289,26553296,1249495,19163,1230332,35008,31938
Bradford,1366,2458,497,670,21,178,22,1130,108,47,321,244,64871554,44986694,45514138,2195128,17290,2177839,165802,24307
Braintree,567,1039,252,256,7,52,16,466,58,16,125,80,24526494,16661987,16574824,695525,17273,678252,54332,24116
Brandon,2063,3669,799,1032,47,185,57,1778,146,34,471,347,95584170,63390664,62856945,2866216,73977,2792239,228947,24253
Brattleboro,5988,9847,1764,3447,116,661,437,4775,636,271,1507,1093,292428157,197234784,198265536,9730213,816219,8913995,633540,26000
Bridgewater,471,788,196,228,16,31,19,377,51,10,99,57,29027602,21755723,21932675,1238822,166911,1071911,29170,28405
Bridport,623,1098,258,313,12,40,23,506,88,13,139,81,33668412,23404002,23502279,1209572,158037,1051535,52446,26185
Brighton,522,940,216,247,8,51,10,423,33,21,171,109,17716608,10597259,10591255,434661,11257,423404,77840,18974
Bristol,1919,3386,731,987,34,167,58,1656,194,39,368,261,98049376,66263689,66303155,3030533,99688,2930845,166178,26873
Brookfield,619,1137,296,274,12,37,19,497,66,16,137,68,35785186,24515729,25297822,1263108,25253,1237855,43226,27154
Brookline,249,506,125,104,2,18,16,193,30,11,58,49,7333339,8310740,8247095,347272,13023,334249,27802,24199
Brownington,409,815,199,169,5,36,5,344,19,2,115,99,15626116,9238423,9191393,348090,2817,345273,71660,19597
Brunswick,52,90,25,20,2,5,*,40,5,0,17,9,1768074,1043757,1041026,41398,0,41398,4735,19619
Burke,814,1524,349,369,14,82,32,680,76,21,192,132,36459482,23014635,23027655,961583,54006,907577,92139,23157
Burlington,18647,28409,4721,12515,259,1152,846,16552,1785,1061,3535,2282,1061985381,771678603,781251132,42054375,1604471,40449904,1283310,30138
Cabot,649,1281,298,280,6,65,19,493,62,20,184,136,27341857,17428062,17317103,738895,33023,705872,105459,21580
Calais,827,1519,358,388,14,67,34,649,120,23,161,108,57076342,41899964,39705536,2207005,74719,2132286,51825,28365
Cambridge,1954,3505,766,982,38,168,68,1724,168,48,335,273,104094994,71371307,71558590,3299618,224628,3074990,162760,27607
Canaan,423,794,202,172,10,39,7,319,34,12,130,86,22690168,15714598,15824277,940062,12222,927840,59527,20623
Castleton,1863,3179,746,933,38,146,124,1574,169,44,444,241,91680700,60736785,61179868,2798043,213343,2584700,134671,26777
Cavendish,642,1140,262,318,16,46,27,517,75,7,156,90,30801073,20440947,19967316,910327,51074,859253,60582,25084
Charleston,496,882,207,236,13,40,12,375,39,12,158,100,18020160,10779840,10721994,453035,9151,443884,65927,19991
Charlotte,1923,3777,970,822,24,107,226,1496,488,39,326,116,266988944,227168816,234641768,15870273,1125432,14744841,55492,37402
Chelsea,591,1104,259,282,5,45,24,465,61,12,156,87,29277285,19588289,19456261,927925,89303,838622,67669,23599
Chester,1514,2709,626,713,35,140,86,1175,168,45,393,242,70550257,47722608,47650450,2196656,128116,2068540,146276,24479
Chittenden,2979,4243,592,2133,62,192,103,2717,127,210,607,429,139008230,94129458,95517242,4680425,323624,4356801,221226,26917
Clarendon,1352,2337,545,684,23,100,38,1160,91,19,316,176,64764837,42621295,42616447,1882992,27247,1855745,97020,26493
Colchester,8326,14575,3170,4327,117,712,365,7521,829,209,1275,820,555984395,396780329,400181743,20285632,1097787,19187846,478452,32446
Concord,625,1121,232,305,7,81,8,520,33,15,169,131,23033788,13610124,13621538,560376,5224,555152,82925,20126
Corinth,692,1244,285,334,9,64,24,505,72,17,187,128,29525427,18509292,18386267,767125,25939,741186,69985,23081
Cornwall,563,1101,291,235,6,31,44,428,125,14,95,41,56698231,42349435,43111278,2618474,224112,2394362,24341,33143
Coventry,484,961,235,202,1,46,13,414,31,10,126,96,22173313,14341722,14220973,638367,8156,630211,66993,21637
Craftsbury,617,1074,246,319,9,43,17,477,95,17,162,96,28221492,18245379,18186291,866453,10648,855805,60944,23715
Danby,627,1163,275,278,6,68,22,519,66,17,175,116,27752360,17780764,17786891,763041,30972,732068,72013,23190
Danville,1179,2161,532,536,19,92,35,925,139,30,267,158,68137582,47784384,47972211,2482415,94880,2387535,107472,26365
Derby,2352,4314,989,1093,34,236,63,1946,220,56,590,400,116231938,78807941,79689091,3976231,166957,3809273,275318,23687
Dorset,1029,1866,449,482,24,74,95,693,244,29,231,94,93334022,69358335,71789398,4427713,972980,3454733,56533,32148
Dover,737,1186,263,405,19,50,60,544,106,42,185,94,34523427,24890154,24817098,1128323,120495,1007828,45594,27578
Dummerston,939,1701,420,444,12,63,97,735,186,28,179,100,64289514,45055690,45691460,2366692,272614,2094079,54736,31219
Duxbury,622,1189,307,266,14,35,26,553,72,20,94,52,43079258,30808706,30739538,1491696,43324,1448372,26688,32035
East Haven,138,255,55,67,1,15,5,115,12,5,28,34,5399364,3209821,3204104,122035,3041,118994,13990,21008
East Montpelier,1298,2447,596,589,17,96,71,1077,214,19,214,126,92364811,66387198,67072958,3510772,96755,3414017,67997,31529
Eden,673,1201,247,337,12,77,10,600,29,13,158,140,25893854,16334953,16243299,675536,6718,668818,97076,21383
Elmore,432,802,202,200,7,23,29,350,70,4,85,41,30588971,21977001,22121160,1143202,65110,1078092,18180,32466
Enosburg,1384,2560,533,672,24,155,28,1178,95,27,354,272,65608929,43603684,41887487,2030866,21286,2009580,183344,22349
Essex Junction,6162,10644,2172,3398,88,504,315,5585,521,228,983,603,368728148,261913312,262334551,12330381,531339,11799042,335530,31252
Essex Town,4598,9353,2351,1908,46,293,327,4140,606,82,644,258,385568222,284658916,288362773,15156488,315635,14840854,157667,34491
Fair Haven,1385,2512,493,676,30,186,90,1157,75,37,409,314,54493125,33889347,33757347,1399476,81523,1317953,201033,21341
Fairfax,2386,4653,1118,1042,50,176,101,2177,166,58,352,223,150371314,105340498,105573820,4847946,139545,4708401,138009,30161
Fairfield,962,1849,422,433,17,90,25,811,63,14,205,137,51888450,35766289,35712890,1661902,13786,1648116,87458,25988
Fairlee,571,958,206,298,19,48,20,460,65,33,102,56,30197575,20904714,20951395,910698,16927,893771,31229,29686
Fayston,600,1109,276,269,18,37,52,476,124,14,99,51,75555617,61883622,55054797,3641725,527509,3114216,19845,34652
Ferrisburgh,1317,2371,601,610,21,85,67,1083,186,26,257,118,84547075,59836951,60091557,2966007,130953,2835054,60957,31436
Fletcher,603,1223,307,232,16,48,23,537,43,7,93,85,37428867,25607438,25718126,1241835,39449,1202386,52851,27699
Franklin,946,1680,351,499,11,85,24,802,50,31,226,151,41594275,27399335,27159161,1158512,11946,1146566,95350,24042
Georgia,2217,4491,1121,895,27,174,87,1995,164,38,363,215,140254117,98225262,99272811,4690252,196706,4493546,133369,28911
Glover,555,1009,225,263,10,57,17,443,43,8,160,106,26973600,17889065,17733158,842262,8973,833289,64236,23708
Goshen,94,151,34,51,1,8,*,80,10,2,18,11,3752848,2568297,2568031,111791,0,111791,5811,25623
Grafton,293,541,147,129,3,14,14,214,60,8,58,30,17329401,11388678,11354208,568623,17981,550642,23085,28120
Granby,28,50,16,10,1,1,*,18,2,0,12,8,1844384,1398849,1373095,90853,0,90853,4193,20683
Grand Isle,1149,2051,490,538,15,106,53,1007,121,33,201,139,74504481,53491947,54140500,2762158,81905,2680253,82619,30643
Granville,162,279,61,81,7,13,8,130,14,2,44,47,6805954,4284115,4329823,204479,8740,195739,31494,22337
Greensboro,365,647,152,186,8,19,12,269,58,14,109,60,22225690,15393639,15659548,851262,38088,813174,41376,26741
Groton,475,918,216,205,9,45,12,387,36,19,130,92,23356361,15135234,15163183,722728,10812,711916,56457,22784
Guildhall,115,197,48,56,3,8,4,90,11,7,29,18,5714182,3974429,3947508,180740,15976,164764,9204,27044
Guilford,1021,1850,444,470,27,80,140,774,162,29,230,123,56889734,40025620,40148905,1936983,199567,1737417,75822,28470
Halifax,339,628,161,143,8,27,60,214,40,5,109,60,16073108,10249134,10294093,457388,96263,361125,33182,24548
Hancock,169,283,62,89,2,16,4,141,18,7,43,27,7419648,4826272,4796443,204961,2210,202751,12548,25186
Hardwick,1512,2726,543,772,21,176,37,1245,104,26,425,306,60702368,37730899,37358102,1607333,73154,1534179,220525,21211
Hartford,5442,9340,1901,2884,115,542,166,4480,626,272,1116,679,304451443,213218986,212981024,9995621,164598,9831023,434705,29318
Hartland,1718,3089,764,801,31,122,69,1412,239,38,343,176,104914906,74240753,75249156,3718540,121111,3597429,103322,30320
Highgate,1640,3164,718,717,27,178,43,1447,66,19,351,277,79021216,51334003,51329580,2247150,34777,2212373,184280,23868
Hinesburg,2370,4487,1066,1109,36,159,148,2092,301,55,344,213,170473648,123042251,123920751,6429832,164986,6264847,129015,32355
Holland,289,557,128,125,3,33,8,227,18,10,77,60,11303946,6748457,6594539,263461,10526,252935,44293,20382
Hubbardton,297,539,134,136,5,22,14,229,35,5,78,38,14070758,9103588,9049998,375798,16358,359441,24685,25989
Huntington,980,1885,465,427,13,75,59,868,93,16,152,104,71133808,52485163,48350984,2472308,41710,2430598,55979,30351
Hyde Park,1518,2734,612,747,26,133,48,1280,157,28,337,223,77651154,51785062,51801982,2470548,50483,2420065,138829,25258
Ira,198,358,94,93,3,8,9,175,25,4,35,19,11631976,7782430,7753093,370286,7385,362901,12241,28927
Irasburg,570,1100,271,237,6,56,13,473,38,7,145,107,23503023,14266514,14159533,582762,9749,573013,84432,20890
Isle La Motte,251,433,113,112,7,19,16,194,31,10,55,39,11977900,7674035,7647924,329130,34912,294217,21525,26072
Jamaica,489,825,175,269,12,33,30,370,60,13,123,77,20540940,13453107,13434932,623609,26052,597557,45722,23317
Jay,264,476,98,136,6,24,11,216,19,13,61,37,12615395,8479834,8504881,379074,17855,361219,29339,24832
Jericho,2076,4051,1015,910,25,126,154,1860,284,47,283,149,172867629,128132996,129670872,7015089,223098,6791991,79869,34444
Jericho ID,466,981,273,168,4,21,40,411,67,10,71,28,39680593,30154099,30203657,1573036,61698,1511338,12583,35177
Johnson,1507,2577,486,817,21,183,31,1337,88,34,371,339,58613328,36138384,35974431,1537230,18673,1518557,222543,21873
Killington,703,1009,197,470,10,26,62,573,92,47,139,73,38920078,29416881,29741094,1492988,242334,1250654,32836,30947
Kirby,206,460,119,66,5,16,9,164,26,4,42,30,13763849,9730725,9601396,490370,74567,415803,19125,25375
Landgrove,58,110,27,26,2,3,7,36,23,3,6,0,6439916,4634221,4621822,271921,7765,264156,0,38979
Leicester,487,892,232,226,5,24,15,414,39,6,126,83,23407058,15289049,15202911,695169,17968,677201,47891,24516
Lemington,39,63,15,23,1,0,*,24,5,1,8,0,1531172,935018,915885,39894,0,39894,0,22820
Lincoln,642,1210,281,298,12,51,32,508,85,15,137,79,38219727,25616076,25846599,1277492,68428,1209064,42515,27388
Londonderry,960,1689,373,497,9,81,67,730,143,44,248,136,58624195,39751236,40614727,2193709,206991,1986718,85919,26294
Lowell,430,838,173,205,6,46,5,361,15,19,153,107,15439559,9441824,9420656,377489,2890,374599,69604,17904
Ludlow,1112,1792,385,631,19,77,57,938,154,63,240,151,53459726,36124756,36515098,1612866,94479,1518387,86769,27254
Lunenburg,548,1063,255,226,11,56,15,417,22,19,192,130,18793770,10737143,10648268,420949,15153,405796,95439,17599
Lyndon,2581,4479,950,1316,50,265,45,2187,163,59,624,478,102048635,62740914,62923852,2694611,42864,2651747,303303,22117
Maidstone,84,156,46,28,4,6,*,64,13,2,28,15,3426955,2111564,2096952,89115,0,89115,12499,21305
Manchester,2355,4034,879,1204,45,227,197,1756,449,102,576,294,206584329,147971448,154208961,9063060,674873,8388187,184198,30763
Marlboro,426,771,188,200,10,28,40,316,86,21,91,49,27353639,18869063,19310355,1058714,216602,842112,31885,29212
