STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,Description,Facility Carried,Bridge Location,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,Year Built,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,FED_AGENCY,STATUS,Sufficiency Rating,Map Location
000053591-00002,1,6,0,0,5,9,0,'NORTH BRANCH/NUL. RIVER ','FOUR MILE ROAD    ','S. O. CONTE NFWR-NULHEGAN',99.99,5.471,0,,,44513000,71480600,3,3,63,63,9,2003,1,0,10,2011,0,4,0,0,0,1,0,0,0,5,0,0,0,B,1,5,3,2,0,0,1,0,4.2,16.2,16.8,0.2,0.2,4.3,4.9,99.99,N,0,N,99.9,0,8,7,7,7,N,2,8.1,2,3.6,3,6,N,0,6,6,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,0,8,7,0,0,,0,,Y,6,30,2031,Y,0,30.7,"(44513000, 71480600)"
000053591-00003,1,6,0,0,5,9,0,'LOGGER BRANCH/NUL. RIVER','EAGLES NEST ROAD  ','S. O. CONTE NFWR-NULHEGAN',99.99,3.54,0,,,44513000,71443000,14,3,63,63,9,1960,1,0,20,2011,0,4,0,0,0,1,0,0,0,5,0,0,0,B,1,5,3,2,0,0,1,0,4.4,9.1,10.7,0.2,0.2,4.5,4.8,99.99,N,0,N,99.9,0,7,6,6,7,N,2,15.3,2,10.8,4,6,N,4,7,6,31,2,17.399999999999999,711,24,N  ,N  ,N  ,,,,143,14,208,2007,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,6,50,2031,Y,0,50.8,"(44513000, 71443000)"
000053591-00004,1,6,0,0,5,9,0,'BLACK BRANCH/NUL. RIVER ','STONE DAM ROAD    ','S. O. CONTE NFWR-NULHEGAN',99.99,4.666,0,,,44481200,71422400,19,3,63,63,9,1960,1,0,20,2011,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.5,21,22.3,0.1,0.1,4.5,4.9,99.99,N,0,N,99.9,0,6,7,7,7,N,2,19.8,2,14.4,4,6,N,5,7,7,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,6,50,2031,Y,0,57.6,"(44481200, 71422400)"
000053591-00005,1,6,0,0,5,9,0,'BLACK BRANCH/NUL. RIVER ','LOGGER BRANCH ROAD','S. O. CONTE NFWR-NULHEGAN',99.99,11.263,0,,,44510000,71433600,8,3,63,63,9,1960,1,0,10,2011,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.4,10.7,12.2,0.2,0.2,4.4,4.9,99.99,N,0,N,99.9,0,7,7,7,6,N,2,18,2,13.5,4,6,N,5,7,7,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,5,30,2031,Y,0,54.5,"(44510000, 71433600)"
000053591-00006,1,6,0,0,5,9,0,'BLACK BRANCH/NUL. RIVER ','LOGGER BRANCH ROAD','S. O. CONTE NFWR-NULHEGAN',99.99,18.343,0,,,44534200,71440000,11,3,63,63,9,1960,1,0,10,2011,0,4,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.3,11.3,12.5,0.3,0.3,4.3,4.9,99.99,N,0,N,99.9,0,6,6,7,7,N,2,27,2,20.7,6,6,N,5,7,6,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,6,30,2031,Y,0,69,"(44534200, 71440000)"
92002000001002,1,6,0,10,1,21,0,'LITTLE BLACK BRANCH BRK ','ROAD              ','NO DATA ENTERED          ',99.99,4.952,0,0,0,0,0,0,3,64,64,9,1948,2,0,50,0,2,0,0,0,0,0,0,0,0,4,0,0,0,A,1,5,2,1,0,0,1,0,0,6.4,7,0,0,5.9,6.4,99.99,N,0,N,30.4,0,7,7,6,7,N,5,89.1,5,89.1,6,4,N,5,7,5,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,2,,1,0,1998,1,6,8,8,,0,,Y,8,75,2032,Y,0,94,"(0, 0)"
92002000001003,1,6,0,10,1,21,0,'BIG BLACK BRANCH BRK    ','ROAD              ','NO DATA ENTERED          ',99.99,5.028,0,0,0,0,0,0,3,64,64,9,1948,1,0,50,0,2,0,0,0,0,0,0,0,0,4,0,0,0,A,1,5,2,1,0,0,1,0,0,7.9,8.5,0,0,6,6.4,99.99,N,0,N,30.4,0,7,7,5,7,N,5,,5,,*,4,N,5,6,5,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,1,,1,0,1998,1,6,8,8,,0,,Y,6,75,2032,Y,0,84,"(0, 0)"
92002000001004,1,6,0,10,1,21,0,'TEN KILN BRANCH BRK     ','ROAD              ','NO DATA ENTERED          ',99.99,10.534000000000001,0,0,0,0,0,0,3,64,64,9,1948,1,0,50,0,2,0,0,0,0,0,0,0,0,4,0,0,0,A,1,5,2,1,0,0,1,0,0,7.9,8.5,0,0,6,6.4,99.99,N,0,N,30.4,0,6,6,5,6,N,5,,5,,*,4,N,5,7,8,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,1,,1,0,1998,1,1,8,8,,0,,Y,8,75,2032,Y,0,85,"(0, 0)"
92002000001015,1,6,0,18,1,27,0,'GREENDALE BROOK         ','ROAD              ','NO DATA ENTERED          ',99.99,5.392,0,0,0,0,0,0,3,64,64,9,1940,1,0,50,0,2,0,0,0,0,0,0,0,0,4,0,0,0,A,1,5,4,2,0,0,1,0,0,10.3,11.8,0,0,4.2,4.8,99.99,N,0,N,30.4,0,6,7,6,6,N,5,,5,,*,5,N,5,6,8,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,1,,1,0,1998,1,1,8,8,,0,,Y,6,75,2032,Y,0,81,"(0, 0)"
92002000001053,1,6,0,83,1,25,0,'DEERFIELD RIVER         ','ROAD              ','NO DATA ENTERED          ',99.99,0.16,0,0,0,0,0,0,3,64,64,9,1979,1,0,50,0,5,0,0,15,0,0,0,0,0,4,0,0,0,A,1,5,7,2,0,0,1,0,0,9.4,9.699999999999999,0,0,4.3,4.9,99.99,N,0,N,30.4,0,5,4,5,7,N,5,,5,,*,6,N,5,7,8,,,0,1110,24,N  ,N  ,N  ,,,,,,,,0,N,1,,1,0,1995,8,7,8,8,,0,,Y,4,75,2032,Y,1,56,"(0, 0)"
