Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2007-2008,,GUILDHALL,Guildhall Public,POBox 9,Rte. 102 N,Essex,,4,12/31/2007,374,,0,,0,,0,0,0,,,,,,, $- ,, $-   ,, $- ,,,, $- ,,,,, $- , $-   ,,, $- ,, $- , $-   ,, $- ,,,0,0,,,,0,,,0,0,,,0,,,,,0,0%,,0,,0,,,0,0,na,,,,,,0,,,,0,0,,,,,,,,,dialup,no,,,,,,"Rte. 102 N
Guidlhall, VT 05905
(44.56758508700045, -71.58903136899966)",,,Guidlhall
2011-2012,VT9999,GUILDHALL,Guildhall Public,POBox 9,Rte. 102 N,Essex,N/R,N/R,N/R,427,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,Municipal,N/R,N/R,"Rte. 102 N
Guidlhall, VT 05905
(44.56758508700045, -71.58903136899966)",,N/R,Guidlhall
2008-2009,VT0167,WALDEN,Walden Community,135 Cahoon Farm Rd.,136 Cahoon Farm Rd.,Caledonia,(802) 563-3000,0,N/A,760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/R,,,,"136 Cahoon Farm Rd.
West Danville, VT 05873
(44.45249217300045, -72.21950530099963)",9853,N/A,West Danville
2008-2009,VT9999,GUILDHALL,Guildhall Public,POBox 9,Rte. 102 N,Essex,N/A,N/A,N/A,374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/R,,,,"Rte. 102 N
Guidlhall, VT 05905
(44.56758508700045, -71.58903136899966)",,N/A,Guidlhall
2008-2009,VT0031,CAMBRIDGE,Varnum Memorial,PO Box 198,194 Main St.,Lamoille,(802) 644-2117,0,12/31/2007,3090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/R,,,,"194 Main St.
Jeffersonville, VT 05464
(44.64640557100046, -72.82823684199963)",198,N/A,Jeffersonville
2010-2011,VT9998,DANBY,S.L. Griffith Memorial Library,74 S. Main St. ,74 S. Main St. ,Rutland,(802) 293-5106,N/R,N/R,1311,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,3500,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,$0.00,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,0,0,"74 S. Main St.
Danby, VT 05739
(43.34579240400046, -72.99584026899964)",,N/R,Danby
2010-2011,VT0136,"RYEGATE, SOUTH",South Ryegate Public,140 Church St.,140 Church St.,Caledonia,N/A,N/R,N/R,1174,0,0,0,0,0,0,0,0,0,2300,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"140 Church St.
South Ryegate, VT 05069
(44.186405771000466, -72.14030334299963)",,N/R,South Ryegate
2010-2011,VT0117,PLYMOUTH,Tyson,867 Route 100 ,867 Route 100 ,Windsor,N/A,12,08/31/2011,619,0,0,0,0,0,0,0,0,19,374,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$0.40,$125.00,$375.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$0.00,$0.00,$100.00,$0.16,$0.00,$0.00,$0.00,$0.00,$100.00,$0.16,$0.00,$0 ,1450,880,2330,3.76,0,0,0,0,0,0,0,2330,0,0,0,0,0,N/A,N/A,0,0%,0,0,0,0,N/A,N/A,0,0,0%,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,6,0,0,0,0,0,0,0,n/a,Community (joint school-public),No,n/a,"867 Route 100
Ludlow, VT 05149
(43.44095971200045, -72.69905802799963)",9414,n/a,Ludlow
2008-2009,VT0184,WEST WINDSOR,Mary L. Blood Memorial,PO Box 468 ,41 Brownsville Hartland Rd.,Windsor,(802) 484-7205,0,N/A,1096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/R,,,,"41 Brownsville Hartland Rd.
Brownsville, VT 05037
(43.4684039710005, -72.47126365999964)",468,N/A,Brownsville
2010-2011,VT0085,LOWELL,Lowell Community,PO Box 189,Vermont 100,Orleans,(802) 744-2447,N/R,N/R,879,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,900,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,$0.00,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,0,0,"Vermont 100
Lowell, VT 05847
(44.728276363000475, -72.49863663099967)",189,N/R,Lowell
