Delivery Date,Kerosene,Fuel Oil,Propane
10/21/2015 12:00:00 AM,$2.58,$2.06,$1.14
10/22/2015 12:00:00 AM,$2.58,$2.06,$1.14
10/23/2015 12:00:00 AM,$2.58,$2.07,$1.12
10/24/2015 12:00:00 AM,$2.59,$2.10,$1.14
10/25/2015 12:00:00 AM,$2.59,$2.10,$1.14
10/26/2015 12:00:00 AM,$2.59,$2.10,$1.14
10/27/2015 12:00:00 AM,$2.58,$2.08,$1.12
10/28/2015 12:00:00 AM,$2.56,$2.05,$1.14
10/29/2015 12:00:00 AM,$2.55,$2.05,$1.13
10/30/2015 12:00:00 AM,$2.63,$2.11,$1.15
10/31/2015 12:00:00 AM,$2.62,$2.10,$1.16
11/01/2015 12:00:00 AM,$2.62,$2.10,$1.16
11/02/2015 12:00:00 AM,$2.62,$2.10,$1.16
11/03/2015 12:00:00 AM,$2.65,$2.12,$1.16
11/04/2015 12:00:00 AM,$2.64,$2.12,$1.17
11/05/2015 12:00:00 AM,$2.70,$2.18,$1.18
11/06/2015 12:00:00 AM,$2.64,$2.13,$1.18
11/07/2015 12:00:00 AM,$2.62,$2.11,$1.17
11/08/2015 12:00:00 AM,$2.62,$2.11,$1.17
11/09/2015 12:00:00 AM,$2.62,$2.11,$1.17
11/10/2015 12:00:00 AM,$2.63,$2.11,$1.16
11/11/2015 12:00:00 AM,$2.62,$2.09,$1.16
11/12/2015 12:00:00 AM,$2.63,$2.11,$1.15
11/13/2015 12:00:00 AM,$2.59,$2.06,$1.14
11/14/2015 12:00:00 AM,$2.54,$2.02,$1.12
11/15/2015 12:00:00 AM,$2.54,$2.02,$1.12
11/16/2015 12:00:00 AM,$2.54,$2.02,$1.12
11/17/2015 12:00:00 AM,$2.52,$1.99,$1.11
11/18/2015 12:00:00 AM,$2.53,$2.00,$1.11
11/19/2015 12:00:00 AM,$2.51,$1.98,$1.11
11/20/2015 12:00:00 AM,$2.50,$1.99,$1.12
11/21/2015 12:00:00 AM,$2.48,$1.98,$1.12
11/22/2015 12:00:00 AM,$2.48,$1.98,$1.12
11/23/2015 12:00:00 AM,$2.48,$1.98,$1.12
11/24/2015 12:00:00 AM,$2.48,$1.96,$1.12
11/25/2015 12:00:00 AM,$2.49,$1.97,$1.12
11/26/2015 12:00:00 AM,$2.51,$1.99,$1.14
11/27/2015 12:00:00 AM,$2.51,$1.99,$1.14
11/28/2015 12:00:00 AM,$2.51,$1.99,$1.14
11/29/2015 12:00:00 AM,$2.51,$1.99,$1.14
11/30/2015 12:00:00 AM,$2.51,$1.99,$1.14
12/01/2015 12:00:00 AM,$2.47,$1.98,$1.14
12/02/2015 10:25:00 AM,$2.45,$1.92,$1.13
12/03/2015 12:00:00 AM,$2.47,$1.95,$1.14
12/04/2015 11:00:00 AM,$2.40,$1.94,$1.14
10/20/2015 12:00:00 AM,$2.62,$2.07,$1.16
12/05/2015 12:00:00 AM,$2.46,$1.99,$1.14
12/06/2015 12:00:00 AM,$2.46,$1.99,$1.14
12/07/2015 12:00:00 AM,$2.46,$1.99,$1.14
12/08/2015 12:00:00 AM,$2.44,$1.96,$1.14
12/09/2015 12:00:00 AM,$2.39,$1.90,$1.13
12/10/2015 12:00:00 AM,$2.36,$1.90,$1.12
12/11/2015 12:00:00 AM,$2.35,$1.89,$1.11
12/12/2015 12:00:00 AM,$2.34,$1.83,$1.11
12/13/2015 12:00:00 AM,$2.34,$1.83,$1.11
12/14/2015 12:00:00 AM,$2.34,$1.83,$1.11
12/15/2015 12:00:00 AM,$2.26,$1.75,$1.10
12/16/2015 12:00:00 AM,$2.23,$1.73,$1.09
12/17/2015 12:00:00 AM,$2.25,$1.74,$1.08
12/18/2015 12:00:00 AM,$2.22,$1.71,$1.06
12/19/2015 12:00:00 AM,$2.22,$1.71,$1.06
12/20/2015 12:00:00 AM,$2.22,$1.71,$1.06
12/21/2015 12:00:00 AM,$2.22,$1.71,$1.06
12/22/2015 12:00:00 AM,$2.22,$1.70,$1.06
12/23/2015 12:00:00 AM,$2.21,$1.70,$1.05
12/24/2015 12:00:00 AM,$2.20,$1.73,$1.06
12/25/2015 12:00:00 AM,$2.24,$1.77,$1.08
12/26/2015 12:00:00 AM,$2.24,$1.77,$1.08
12/27/2015 12:00:00 AM,$2.24,$1.77,$1.08
12/28/2015 12:00:00 AM,$2.24,$1.77,$1.08
12/29/2015 12:00:00 AM,$2.22,$1.71,$1.08
12/30/2015 12:00:00 AM,$2.21,$1.71,$1.08
12/31/2015 12:00:00 AM,$2.25,$1.75,$1.09
01/01/2016 12:00:00 AM,$2.21,$1.71,$1.08
01/02/2016 12:00:00 AM,$2.21,$1.71,$1.08
01/03/2016 12:00:00 AM,$2.21,$1.71,$1.08
01/04/2016 12:00:00 AM,$2.21,$1.71,$1.08
01/05/2016 12:00:00 AM,$2.23,$1.74,$1.09
01/06/2015 12:00:00 AM,$2.24,$1.77,$1.10
01/06/2016 12:00:00 AM,$2.24,$1.77,$1.10
01/07/2016 12:00:00 AM,$2.24,$1.73,$1.09
01/08/2016 12:00:00 AM,$2.17,$1.70,$1.07
01/09/2016 12:00:00 AM,$2.16,$1.68,$1.06
01/10/2016 12:00:00 AM,$2.16,$1.68,$1.06
01/11/2016 12:00:00 AM,$2.16,$1.68,$1.06
01/12/2016 12:00:00 AM,$2.14,$1.67,$1.05
01/13/2016 12:00:00 AM,$2.11,$1.62,$1.04
01/14/2016 12:00:00 AM,$2.08,$1.60,$1.04
01/15/2016 12:00:00 AM,$2.06,$1.58,$1.05
01/16/2016 12:00:00 AM,$2.07,$1.61,$1.05
01/17/2016 12:00:00 AM,$2.07,$1.61,$1.05
01/18/2016 12:00:00 AM,$2.07,$1.61,$1.05
01/19/2016 12:00:00 AM,$2.07,$1.61,$1.05
01/20/2016 12:00:00 AM,$2.05,$1.57,$1.02
01/21/2016 12:00:00 AM,$2.00,$1.54,$1.02
01/22/2016 12:00:00 AM,$1.95,$1.51,$1.03
01/23/2016 12:00:00 AM,$2.02,$1.55,$1.04
01/24/2016 12:00:00 AM,$2.02,$1.55,$1.04
01/25/2016 12:00:00 AM,$2.02,$1.55,$1.04
01/26/2016 12:00:00 AM,$2.10,$1.65,$1.05
01/27/2016 12:00:00 AM,$2.03,$1.57,$1.05
01/28/2016 12:00:00 AM,$2.06,$1.61,$1.04
01/29/2016 12:00:00 AM,$2.13,$1.66,$1.07
01/30/2016 12:00:00 AM,$2.13,$1.68,$1.09
01/31/2016 12:00:00 AM,$2.13,$1.68,$1.09
02/01/2016 12:00:00 AM,$2.13,$1.68,$1.09
02/02/2015 12:00:00 AM,$2.17,$1.73,$1.09
02/02/2016 12:00:00 AM,$2.17,$1.73,$1.09
02/03/2016 12:00:00 AM,$2.12,$1.66,$1.09
02/04/2016 12:00:00 AM,$2.10,$1.64,$1.07
02/05/2016 12:00:00 AM,$2.17,$1.71,$1.09
02/06/2016 12:00:00 AM,$2.17,$1.74,$1.10
02/07/2016 12:00:00 AM,$2.17,$1.74,$1.10
02/08/2016 12:00:00 AM,$2.17,$1.74,$1.10
02/09/2016 12:00:00 AM,$2.15,$1.69,$1.10
02/10/2016 12:00:00 AM,$2.13,$1.68,$1.10
02/11/2016 12:00:00 AM,$2.07,$1.61,$1.09
02/12/2016 12:00:00 AM,$2.06,$1.61,$1.09
02/13/2016 12:00:00 AM,$2.08,$1.62,$1.08
02/14/2016 12:00:00 AM,$2.08,$1.62,$1.08
02/15/2016 12:00:00 AM,$2.08,$1.62,$1.08
02/16/2016 12:00:00 AM,$2.08,$1.62,$1.08
02/17/2016 12:00:00 AM,$2.16,$1.69,$1.10
02/18/2016 12:00:00 AM,$2.11,$1.66,$1.09
02/19/2016 12:00:00 AM,$2.18,$1.73,$1.10
02/20/2016 12:00:00 AM,$2.17,$1.70,$1.11
02/21/2016 12:00:00 AM,$2.17,$1.70,$1.11
02/22/2016 12:00:00 AM,$2.17,$1.70,$1.11
02/23/2016 12:00:00 AM,$2.12,$1.65,$1.10
02/24/2016 12:00:00 AM,$2.14,$1.68,$1.12
02/25/2016 12:00:00 AM,$2.10,$1.64,$1.11
02/26/2016 12:00:00 AM,$2.15,$1.68,$1.12
02/27/2016 12:00:00 AM,$2.16,$1.69,$1.13
02/28/2016 12:00:00 AM,$2.16,$1.69,$1.13
02/29/2016 12:00:00 AM,$2.16,$1.69,$1.13
03/01/2016 12:00:00 AM,$2.13,$1.67,$1.14
03/02/2016 12:00:00 AM,$2.13,$1.67,$1.14
03/03/2016 12:00:00 AM,$2.17,$1.70,$1.14
03/04/2016 12:00:00 AM,$2.17,$1.70,$1.15
03/05/2016 12:00:00 AM,$2.19,$1.72,$1.14
03/06/2016 12:00:00 AM,$2.19,$1.72,$1.14
03/07/2016 12:00:00 AM,$2.19,$1.72,$1.14
03/08/2016 12:00:00 AM,$2.23,$1.75,$1.16
03/09/2016 12:00:00 AM,$2.29,$1.82,$1.19
03/10/2016 12:00:00 AM,$2.27,$1.80,$1.18
03/11/2016 12:00:00 AM,$2.29,$1.84,$1.19
03/12/2016 12:00:00 AM,$2.28,$1.83,$1.18
03/13/2016 12:00:00 AM,$2.28,$1.83,$1.18
03/14/2016 12:00:00 AM,$2.28,$1.83,$1.18
03/15/2016 12:00:00 AM,$2.28,$1.83,$1.19
03/16/2016 12:00:00 AM,$2.25,$1.80,$1.17
03/17/2016 12:00:00 AM,$2.24,$1.78,$1.16
03/18/2016 12:00:00 AM,$2.30,$1.83,$1.17
03/19/2016 12:00:00 AM,$2.31,$1.85,$1.18
03/20/2016 12:00:00 AM,$2.31,$1.85,$1.18
03/21/2016 12:00:00 AM,$2.31,$1.85,$1.18
03/22/2016 12:00:00 AM,$2.30,$1.84,$1.17
03/23/2016 12:00:00 AM,$2.30,$1.83,$1.17
03/24/2016 12:00:00 AM,$2.31,$1.85,$1.16
03/25/2016 12:00:00 AM,$2.27,$1.80,$1.15
