Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
Barn,6376,43.5 Randall St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"43.5 Randall St
Waterbury, VT
(44.33871221600049, -72.75730654699964)"
Garage by Lumber Storage,6388,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
10 North,6357,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
5 Park Row,6380,5 Park Row,Waterbury,8878.00,$1436.97,,,879.30,$1624.53,,,,,,,,,,,,,,,,,,,$3061.50,01/01/2011 12:00:00 AM,"5 Park Row
Waterbury, VT
(44.33446407200046, -72.75199758199966)"
State Office,6160,232 Main St,Brattleboro,298239.30,$35146.86,,,,,,,5212.00,$7419.28,,,,,,,,,1305.00,$2007.48,,,,,$44573.62,01/01/2009 12:00:00 AM,"232 Main St
Brattleboro, VT
(42.855784403000484, -72.56022627699963)"
North Connector,6352,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Stake Shed,6469,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Cow Barn,6460,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Duxbury Farm, 6602-6607,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
Recycling Building,6325,20 Houghton St,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"20 Houghton St
St. Albans, VT
(44.80955088100046, -73.08872640499965)"
District Court,6321,36 Lake St,St. Albans,274337.00,$48870.06,20505.00,$21573.38,,,,,,,,,,,,,,,,,,,,,$70443.44,01/01/2012 12:00:00 AM,"36 Lake St
St. Albans, VT
(44.81082175200049, -73.08498130199968)"
Scenario Building,6273,438 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"438 Academy Rd
Pittsford, VT
(43.715993943000456, -73.01900987499965)"
