School District (Town),District Code,Returns,Median AGI per Return
Addison,1,1883,$28643.00
Albany,2,451,$26487.00
Alburgh,3,993,$34453.00
Andover,4,252,$38649.50
Arlington,5,1327,$32417.00
Athens,6,161,$29700.01
Bakersfield,7,651,$41486.00
Baltimore,8,122,$32451.00
Barnard,9,459,$42048.00
Barnet,10,813,$35969.00
Barre City,11,4267,$30115.00
Barre Town,12,4206,$42407.50
Barton,13,874,$27636.00
Belvidere,14,175,$30004.00
Bennington,15,7180,$27072.00
Benson,16,477,$31626.00
Berkshire,17,665,$37167.00
Berlin,18,1295,$38648.00
Bethel,19,1027,$33803.00
Bloomfield,20,97,$33502.00
Bolton,21,598,$46546.50
Bradford,22,1366,$32127.00
Braintree,23,567,$34776.00
Brandon,24,2063,$32282.00
Brattleboro,25,5988,$30013.50
Bridgewater,26,471,$33654.00
Bridport,27,623,$35142.00
Brighton,28,522,$25112.00
Bristol,29,1919,$36901.00
Brookfield,30,619,$39543.00
Brookline,31,249,$38542.00
Brownington,32,409,$30824.00
Brunswick,33,52,$20804.50
Burke,34,814,$33708.00
Burlington,35,18647,$31861.00
Cabot,36,649,$32777.00
Calais,37,827,$40566.00
Cambridge,38,1954,$39339.50
Canaan,39,423,$28094.00
Castleton,40,1863,$33808.00
Cavendish,41,642,$34394.00
Charleston,42,496,$25732.50
Charlotte,43,1923,$62647.00
Chelsea,44,591,$33387.00
Chester,45,1514,$32239.50
Chittenden,46,2979,$27691.00
Clarendon,47,1352,$33733.00
Colchester,48,8326,$43790.00
Concord,49,625,$27799.00
Corinth,50,692,$32833.00
Cornwall,51,563,$50593.00
Coventry,52,484,$30923.50
Craftsbury,53,617,$29977.00
Danby,54,627,$31142.00
Danville,55,1179,$37153.00
Derby,56,2352,$30869.00
Dorset,57,1029,$43220.00
Dover,58,737,$30910.00
Dummerston,59,939,$44831.00
Duxbury,60,622,$53600.00
East Haven,61,138,$32014.50
East Montpelier,62,1298,$48231.00
Eden,63,673,$31115.00
Elmore,64,432,$46331.00
Enosburg,65,1384,$30406.50
Essex Junction,66,6162,$42004.50
Essex Town,67,4598,$63347.50
Fairfax,68,2386,$49656.50
Fairfield,69,962,$36766.00
Fair Haven,70,1385,$27151.00
Fairlee,71,571,$36597.00
Fayston,72,600,$52109.50
Ferrisburgh,73,1317,$43201.00
Fletcher,74,603,$45591.00
Franklin,75,946,$32967.50
Georgia,76,2217,$48710.00
Glover,77,555,$31969.00
Goshen,78,94,$32776.00
Grafton,79,293,$41485.00
Granby,80,28,$14839.50
Grand Isle,81,1149,$42355.00
Granville,82,162,$26760.50
Greensboro,83,365,$31519.00
Groton,84,475,$33380.00
Guildhall,85,115,$30540.00
Guilford,86,1021,$39931.00
Halifax,87,339,$32294.00
Hancock,88,169,$33063.00
Hardwick,89,1512,$27271.50
Hartford,90,5442,$37685.50
Hartland,91,1718,$40702.00
Highgate,92,1640,$36370.00
Hinesburg,93,2370,$47062.50
