School Code,Town Name,School Number,School Amount,Circuit Breaker Number,Circuit Breaker Amount,Renter Rebate Number, Renter Rebate Amount, Total Number, Total Amount
1,Addison,311,501064,88,42539,42,"27,431",353,571034
2,Albany,241,297517,100,38339,*,*,241,335856
3,Alburgh,427,534502,78,18674,27,"21,884",454,575060
4,Andover,129,219767,28,10839,*,*,129,230607
5,Arlington,516,780622,122,35694,31,"16,498",547,832814
6,Athens,91,81878,60,60586,*,*,91,142464
7,Bakersfield,294,277024,60,16484,*,*,294,293507
8,Baltimore,60,61537,13,4491,*,*,60,66029
9,Barnard,204,500096,60,22902,*,*,204,522997
10,Barnet,359,476930,129,52409,12,"9,145",371,538483
11,Barre City,1080,651880,605,735337,411,"201,586",1491,1588804
12,Barre Town,1646,1445029,500,259379,79,"53,465",1725,1757873
13,Barton,408,295332,149,83457,28,"20,509",436,399299
14,Belvidere,77,74939,31,12350,*,*,77,87288
15,Bennington,2178,2050903,1017,670825,488,"307,546",2666,3029274
16,Benson,195,197870,66,26446,16,"7,797",211,232113
17,Berkshire,312,300815,96,34978,10,"7,094",322,342887
18,Berlin,524,689302,174,71574,25,"21,217",549,782094
19,Bethel,367,420376,169,123454,33,"13,226",400,557056
20,Bloomfield,53,31975,11,2622,*,*,53,34596
21,Bolton,233,304446,58,21941,*,*,233,326387
22,Bradford,509,585295,214,144727,48,"26,665",557,756687
23,Braintree,262,233145,119,60638,*,*,262,293782
24,Brandon,767,746873,305,217804,90,"49,508",857,1014185
25,Brattleboro,1713,2199881,756,976619,496,"273,287",2209,3449787
26,Bridgewater,188,279847,59,19034,*,*,188,298880
27,Bridport,245,448394,91,40528,12,"10,687",257,499610
28,Brighton,226,181338,88,37316,26,"9,945",252,228599
29,Bristol,719,928236,243,154621,73,"45,401",792,1128258
30,Brookfield,269,263447,85,29830,*,*,269,293277
31,Brookline,117,171658,21,4794,*,*,117,176451
32,Brownington,234,189067,92,37109,*,*,234,226177
33,Brunswick,26,16541,*,*,*,*,26,16541
34,Burke,361,443756,95,31019,15,"11,519",376,486294
35,Burlington,3841,7032793,1317,1180952,"1,718","1,214,163",5559,9427908
36,Cabot,307,430522,139,59500,12,"8,172",319,498194
37,Calais,403,708666,154,81329,15,"12,347",418,802343
38,Cambridge,676,864622,113,38160,89,"62,072",765,964853
39,Canaan,206,119611,65,22374,17,"5,669",223,147654
40,Castleton,713,881373,158,57008,45,"28,402",758,966783
41,Cavendish,297,397107,92,31898,12,"7,987",309,436992
42,Charleston,248,188008,87,35872,*,*,248,223880
43,Charlotte,505,1494879,59,15536,25,"30,882",530,1541298
44,Chelsea,275,253415,98,36636,23,"10,483",298,300534
45,Chester,684,1017908,295,189520,55,"28,036",739,1235464
46,Chittenden,258,365428,70,35861,146,"135,014",404,536303
47,Clarendon,578,625908,155,52841,28,"18,561",606,697310
48,Colchester,2709,4049166,684,399350,390,"309,218",3099,4757734
49,Concord,261,241773,96,35411,*,*,261,277184
50,Corinth,313,321838,134,66149,*,*,313,387987
51,Cornwall,207,425178,62,26507,14,"10,472",221,462158
52,Coventry,237,215909,17,744,10,"6,688",247,223342
53,Craftsbury,261,343438,127,55838,10,"6,108",271,405384
54,Danby,259,323433,88,37906,13,"8,443",272,369782
55,Danville,518,616856,148,55514,13,"6,393",531,678763
56,Derby,1029,1120238,212,65281,81,"43,393",1110,1228912
57,Dorset,381,989528,73,19913,23,"15,894",404,1025334
58,Dover,297,611714,90,41185,21,"11,020",318,663920
59,Dummerston,425,783539,92,25563,10,"11,279",435,820382
60,Duxbury,285,408504,83,40533,*,*,285,449037
61,East Haven,66,26786,21,7072,*,*,66,33858
62,East Montpelier,540,943852,161,97436,21,"16,550",561,1057838
63,Eden,277,246219,75,21706,*,*,277,267926
64,Elmore,182,302091,48,18150,*,*,182,320241
65,Enosburg,482,380294,168,94240,98,"49,949",580,524483
66,Essex Junction,1745,2810071,450,400198,392,"302,559",2137,3512828
67,Essex Town,1883,3241957,422,201356,88,"67,978",1971,3511292
68,Fairfax,971,1112314,146,54312,52,"46,659",1023,1213285
69,Fairfield,399,508240,140,77600,*,*,399,585839
70,Fair Haven,422,300523,231,137346,71,"42,129",493,479998
71,Fairlee,210,368687,70,22699,19,"16,678",229,408063
72,Fayston,268,616997,49,15454,*,*,268,632451
73,Ferrisburgh,563,1155959,85,21157,24,"21,667",587,1198783
74,Fletcher,316,365553,110,70869,*,*,316,436423
75,Franklin,298,244116,52,14307,30,"25,479",328,283902
76,Georgia,1049,1379744,94,22183,23,"19,402",1072,1421329
77,Glover,260,274984,87,34690,*,*,260,309674
78,Goshen,45,43535,24,15829,*,*,45,59364
79,Grafton,156,275201,64,52486,*,*,156,327687
80,Granby,20,7852,*,*,*,*,20,7852
81,Grand Isle,441,905075,55,15726,37,"28,246",478,949047
82,Granville,64,61511,26,11410,*,*,64,72921
83,Greensboro,164,242346,79,40541,13,"8,739",177,291627
84,Groton,209,215063,68,22416,*,*,209,237479
85,Guildhall,66,53066,14,4803,*,*,66,57869
86,Guilford,432,612396,168,101048,28,"24,415",460,737859
87,Halifax,204,271145,105,81096,*,*,204,352242
88,Hancock,71,54594,32,17753,*,*,71,72347
89,Hardwick,564,496490,309,227143,69,"40,293",633,763926
90,Hartford,1708,2186857,637,547006,247,"175,689",1955,2909552
91,Hartland,677,1082479,213,89104,34,"29,009",711,1200592
92,Highgate,765,777201,71,11291,37,"24,617",802,813109
93,Hinesburg,859,1331712,188,83539,60,"39,687",919,1454938
94,Holland,155,94101,71,35592,*,*,155,129693
95,Hubbardton,174,222465,84,61140,*,*,174,283605
96,Huntington,435,646950,130,74870,*,*,435,721820
97,Hyde Park,663,747181,270,146331,25,"13,710",688,907222
98,Ira,101,101359,22,7919,*,*,101,109277
99,Irasburg,274,193106,58,14170,*,*,274,207276
100,Isle La Motte,135,264668,61,15945,*,*,135,280613
101,Jamaica,222,359474,67,26041,12,"9,425",234,394940
102,Jay,117,179741,25,6384,*,*,117,186125
103,Jericho,724,1153208,148,65184,30,"22,093",754,1240485
104,Johnson,467,395361,180,92920,79,"42,619",546,530900
105,Kirby,93,106023,22,5736,*,*,93,111759
106,Landgrove,25,83805,*,*,*,*,25,83805
107,Leicester,258,329908,35,7991,10,"7,231",268,345130
108,Lemington,31,20431,*,*,*,*,31,20431
109,Lincoln,302,523520,122,91100,12,"10,984",314,625604
110,Londonderry,346,538968,73,17587,42,"24,413",388,580968
111,Lowell,179,132329,10,166,*,*,179,132495
112,Ludlow,384,777758,113,41545,37,"15,900",421,835202
113,Lunenburg,266,150407,104,33030,16,"9,253",282,192690
114,Lyndon,938,765841,319,140151,117,"54,997",1055,960988
115,Maidstone,51,59961,*,*,*,*,51,59961
116,Manchester,698,1601586,137,43814,96,"61,354",794,1706754
117,Marlboro,203,399402,58,23481,*,*,203,422883
118,Marshfield,335,405231,115,58180,12,"9,468",347,472878
119,Mendon,203,253085,50,29944,11,"6,111",214,289139
120,Middlebury,1012,1525439,357,352739,182,"106,893",1194,1985071
121,Middlesex,366,558656,84,33249,*,*,366,591905
122,Middletown Springs,186,296619,77,36188,*,*,186,332807
123,Milton,2299,3043999,486,200602,152,"130,500",2451,3375101
124,Monkton,437,676458,108,38697,*,*,437,715156
125,Montgomery,268,266585,58,18506,15,"10,119",283,295210
126,Montpelier,1244,1661454,448,524426,297,"157,556",1541,2343436
127,Moretown,330,528866,52,14385,*,*,330,543251
