ID,Reporting Agency,Report Number,Date,Street Address,Town,Number,Number1,Number2,Number3,Intersection,Distance From Intersection,Distance Unit,Posted Speed,Direction of Collision,Direction from Intersection,Easting,Northing,Mile Marker,Mile Marker 1,Mile Marker 2,AOT Roadway,AOT Route,AOT Actual Mile,LRS Number,How Mapped,Crash Type,Location 1
1,VTVSP0100,12A100558,02/15/2012,I-89 SB,South Burlington,NO DATA,NO DATA,NO DATA,89,NO DATA,NO DATA,NO DATA,65,7 - Other - Explain in Narrative,NO DATA,448813,216260,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,85.45,I089-0000S,LRS,Property Damage Only,"(44.44490334, -73.14373867)"
2,VTVSP0100,12A104985,12/19/2012,I 89 S,Williston,NO DATA,NO DATA,NO DATA,89,MM 84/60,50,Feet,65,1 - Rear End,South,449985,215760,890,417,8460,State System (State Highways and Class I TH links),I-89,84.59,I089-0000S,LRS,Property Damage Only,"(44.44033517, -73.12764354)"
3,VTVSP0100,12A100350,01/27/2012,I-89 Southbound Mm 83,Williston,NO DATA,NO DATA,NO DATA,89,Exit 12,NO DATA,NO DATA,65,3 - Same Direction Sideswipe,North,450663,215732,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,84.2,I089-0000S,LRS,Property Damage Only,"(44.43958662, -73.11986209)"
4,VT0041000,12WT01961,06/20/2012,I 89 South,Williston,NO DATA,NO DATA,NO DATA,NO DATA,I 89 S MM 89/4,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,82.4,I089-0000S,LRS,Property Damage Only,"(44.43594815, -73.08413524)"
5,VTVSP0100,12A104443,11/12/2012,I-89 SB,Williston,NO DATA,NO DATA,NO DATA,89,MM 79.8S,NO DATA,NO DATA,65,6 - Single Vehicle Crash,NO DATA,457352,214315,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,79.8,I089-0000S,LRS,Injury,"(44.42840762, -73.03606960)"
6,VTVSP0100,12A105045,12/22/2012,I-89 S,Richmond,NO DATA,NO DATA,NO DATA,89,Milemarker 79,NO DATA,NO DATA,65,3 - Same Direction Sideswipe,NO DATA,460970,212091,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,79,I089-0000S,LRS,Property Damage Only,"(44.42190705, -73.02199639)"
14,VTVSP0100,12A100210,01/16/2012,I-89 S,Milton,NO DATA,NO DATA,NO DATA,89,MM 101,50,Feet,65,6 - Single Vehicle Crash,South,449143,237636,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,100.99,I089-0000S,LRS,Injury,"(44.62973333, -73.14835436)"
15,VTVSP0700,12A100003,01/01/2012,I89 Sobo Mm 101.8,Milton,NO DATA,NO DATA,NO DATA,89,I89 Sobo Mm 101.8,NO DATA,NO DATA,65,6 - Single Vehicle Crash,South,451613,237936,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,101.8,I089-0000S,LRS,Property Damage Only,"(44.63907642, -73.14027216)"
16,VTVSP0100,12A102937,08/02/2012,I 89 SB,Milton,NO DATA,NO DATA,NO DATA,89,MM 103,100,Feet,65,3 - Same Direction Sideswipe,South,449378,234206,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,102.98,I089-0000S,LRS,Property Damage Only,"(44.65622327, -73.13905516)"
17,VTVSP0100,12A00527,02/12/2012,I-89 S MM 103.8,Milton,NO DATA,NO DATA,NO DATA,89,MM 103.8,NO DATA,Feet,65,6 - Single Vehicle Crash,NO DATA,449565,240950,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,103.8,I089-0000S,LRS,Property Damage Only,"(44.66780630, -73.13544125)"
