Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
7104 Request DB [Access],7104 Request DB [Access],Department of Vermont Health Access (AHS DVHA) / ,,,"Frazer, Dylan",dylan.frazer@state.vt.us,,"Manages information regarding requests received and the outcome of those requests. It can also produce reports based on approvals or denials over different timeframes..  We want to have a records of who has made requests, when they were made, for what, and what the outcome was.",,,Unknown,,,MS Access,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DVHA-MPFS,
"Vital Records - (Marriage, Divorce, Other)","Vital Records - (Marriage, Divorce, Other)",Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/records/vital_records.aspx#overview,Cindy Hooley,cindy.hooley@vermont.gov,(802) 651-1636,"Statewide vital registration in Vermont began in 1857, when the General Assembly passed legislation requiring towns to report all births, marriages, and deaths to the Secretary of State. Prior to that time, some towns kept such records in order to resolve questions concerning the distribution and inheritance of property.<br /><br />Since 2000, the Vermont vital records system includes eight types of vital events: births, deaths, marriages, divorces, civil unions, dissolutions, fetal deaths, and abortions. Health Department staff code and enter all vital records received into a computerized database, and send a data file containing some of the information from the records to the National Center for Health Statistics(exit VDH) to become part of a national database.",Statutory requirements for vital events to be reported to Department of Health and for the Department to track events and to prepare annual report.,,,Registry,Marriages and Divorces 1989 – present (ongoing); Civil Unions 2000-2009; Dissolutions 2001-present (ongoing); ITOPs 1989-present (ongoing); Fetal deaths: 1989-present (ongoing),MS Access,In-House PC,NA,Data (deidentified) available to public with data use agreement,,,"Refer to 18 V.S.A. § 5222(d)<br />Vital Records data release is governed by HIPAA (such as the medical information) and VT law (such as public records statutes and vital records statutes). Please refer to 18 VSA, the chapter on Vital Records.  There are sections discussing release of certificates and a section regarding fetal deaths and ITOPs.",Other,Yes,,"Per the Secretary of State's Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.Anything under 30 minutes is free, but subject to our resources and availability.",None,None,,$100000.00,$25000.00,NA,35,65,0,0,High,Yes,,Barbara Patterson,,,,
VHCURES,VHCURES,Green Mountain Care Board (GMCB) / ,OnPoint Health / ,http://gmcboard.vermont.gov/vhcures,Susan Barrett,,,"Claims, membership, and provider data for commercial plans, self-insured, Medicaid, and Medicare (limited to certain users)","Yes: http://legislature.vermont.gov/statutes/section/18/221/09410 requires the GMCB to create a ""unified health care database""",,"Population
Provider Information
Claim",Claim,2007 to current,MS Access,Contractor Server,> 50 GB,Data available to public with data use agreement,Policymakers,,Potential users must be approved by the Data Governance Council and complete a data use agreement.,"Agency Data Use Agreement, HIPPA",,,,Low,,,,,<1,67,13,20,,High,Yes,,Barbara Patterson,,,,
"America's Health Rankings, United Health Foundation","America's Health Rankings, United Health Foundation","America's Health Rankings, United Health Group / ",,http://www.americashealthrankings.org/VT,,,,"For the past 25 years, America’s Health Rankings® has analyzed a comprehensive set of behaviors, community and environmental conditions, policies, and clinical care data to provide a holistic view of the health of the nation. America’s Health Rankings® is the result of a partnership between United Health Foundation, American Public Health Association, and Partnership for Prevention™.<br />Health is a result of our individual genetic predisposition to disease, behaviors, community and environment, policies, and clinical care. Each of us— individually, as a community, and as a society—strives to optimize these health determinants so that all can have a long, disease-free, and robust life regardless of race, ethnicity, gender, or socioeconomic status. The report looks at the 4 groups of health determinants that can be affected: 1.Behaviors include everyday activities that affect personal health. Behaviors include habits and practices we develop as individuals and families that influence our personal health and the use of health resources. Individuals can modify these behaviors with support of community, policy, and clinical interventions. 2.Community and Environment influences quality of life and life expectancy. Healthy and safe communities include those with clean water and air, affordable and secure housing, sustainable and economically vital neighborhoods, and support structures such as violence-free places to be physically active.[1] 3.Policy influences availability of resources to encourage and maintain health. Policy also influences the extent that public and health programs penetrate the general population. Policies can have a wide reach throughout a state, and they promote healthy living and judicious consumption of health care resources. 4.Clinical care reflects the access, quality, appropriateness, and cost of care we receive at doctors’ offices, clinics, and hospitals. Health determinants are intertwined and must work together to be optimally effective. For example, an initiative that addresses tobacco cessation requires individual effort and community support in the form of policies promoting non-smoking and effective counseling and care at clinics. Similarly, reducing the risk of low birthweight babies requires individual effort, education, access to and availability of prenatal care, and high quality health care services. Addressing obesity requires individual actions complemented by food producers and distributors, restaurants, grocery and convenience stores, exercise facilities, parks, urban and transportation design, building design, educational institutions, community organizations, social groups, health care delivery, and insurance. America’s Health Rankings® combines individual measures of each of these determinants with the resultant health outcomes to produce one comprehensive view of the overall health of each state. ",,,Population,,1990-2015,MS Excel,,,Aggregate data only,"Legislators
Advocates
Administrators
Policymakers
Practitioners (Health Care and Others)
Public","MS Excel
Web Application - Public
Report (PDF, Word)",,None,Yes,,See Website,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files,Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files,Department of Health (AHS) / Division of Health Surveillance,VAHHS / ,http://healthvermont.gov/research/hospital-utilization/RECENT_PU_FILES.aspx,Barbara Carroll,barbara.carroll@vermont.gov,(802) 865-7704,"The Public Use Files are derived from the Vermont Uniform Hospital Discharge Data Set (VUHDDS).  With the Public Use Files, data users can generate their own reports about the use of the Vermont hospitals by residents and non-residents.",,VUHDDS Research Data Set,"Surveillance
Utilization
Services Provided
Clinical",Clinical Record,2002-2013 (ongoing),Other DB Format,In-House Server,1 GB - 50 GB,Record level data available to public,Policymakers,CSV - Comma Separated Text File,"VDH creates record-level, limited public use files and posts them to VUHDDS and VDH web sites.  These are de-identified datasets.",,No,,"Special requests may be made for data analysis or for research datasets that include non-public data elements.  Per the Secretary of State’s Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.<br /><br />Contact information for special requests can be found on the VUHDDS webpages.  All requests for analysis or research data files that include non-public data elements must be made to the GMCB for approval. David Regan, Director of Analysis and Data Management<br />(802) 828-2906 David.Regan@vermont.gov. <br /><br />If approved, the GMCB forwards the request to the hospital data manager for completion. Barbara Carroll, Public Health Analyst III<br />(802) 865-7704 Barbara.Carroll@vermont.gov<br />",Complete,,Packaged with data,$0.00,$125000.00,1,67,33,0,0,High,Yes,,Mallory Staskus,,,,
Household Health Insurance Survey (VHHIS),Household Health Insurance Survey (VHHIS),Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://hcr.vermont.gov/vhhis,Jessie Hammond,jessie.hammond@vermont.gov,(802) 863-7663,"Periodic household surveys of Vermont residents to accurately measure the uninsured rate and coverage sources for insured residents and also collects information on relevant demographic, income, and employment characteristics. The surveys support information needs of policy makers, program executives, advocates, health planners, and the general public related to identifying, designing, and evaluating health care reform programs to maintain and expand health insurance coverage in Vermont.","18 V.S.A. § 9410 is a legislative mandate related to VHHIS. This was amended during the 2015 legislative session to say that at least every three years, the Commissioner of Health is required to submit to the general assembly a recommendation for conducting the VHHIS.  The Commissioner is next required to submit a recommendation on or before January 15, 2018. ",Household Health Insurance Survey (VHHIS),"Survey
Coverage",Survey,"2000,2005, 2008, 2009, 2012, 2014, ongoing",Other DB Format,In-House Server,<1 MB,De-identified aggregate data are available to the public upon request.,"Policymakers
Public","Other db format
Report (PDF, Word)","VHHIS data contains protected health information, and is limited by HIPAA. We also follow the protocol for Data Release established by the Division of Health Surveillance in the VT Department of Health. ","Agency restriction, HIPPA",Yes,$0.00,"Per the Secretary of State’s Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.",Incomplete,Full current documentation,Available by Download,$0.00,$446000.00,1,,100,,,High,Yes,,Mallory Staskus,,,,
VHIE Analytical Dataset,VHIE,VITL - VT HIE Network / ,VITL - VT HIE Network / ,,Mike Gagnon,mgagnon@vitl.net,,Clinical data for internal analytical use.,Yes we are legislatively designated to run the exclusive statewide HIE.,VHIE Analytical Dataset,Clinical,Clinical Record,5 years,SQL Server,In-House Server,> 50 GB,No access to data,,SQL Server,Data can only be shared by the agreement of the source organization or with patient consent.,"HIPPA, Other",No,$0.00,,Incomplete,Full current documentation,Packaged with data,$2000000.00,$1000000.00,3,50,40,10,,High,Yes,Clinical data is one of the keys to healthcare reform.,,First Choice,,First Choice,In house PC
Youth Risk Behavior Survey,Youth Risk Behavior Survey,Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/yrbs.aspx,Kristen Murray,kristen.murray@vermont.gov,(802) 863-7276,"Every two years since 1993, the Department of Health's Division of Alcohol and Drug Abuse Programs, and the Department of Education's Coordinated School Health Programs have sponsored the Vermont Youth Risk Behavior Survey (YRBS). The YRBS measures the prevalence of behaviors that contribute to the leading causes of death, disease, and injury among youth. The YRBS is part of a larger effort to help communities increase the “resiliency” of young people by reducing high risk behaviors and promoting healthy behaviors.<br /><br />The data is collected via VDH and a subcontractor using paper surveys administered to students in schools and sent back to the contractor for scanning. The contractor utilizes whatever data collection and management tool is best for their scanning operations.  VDH does not dictate or track which software tool they should use for the collection.  Their cost of the software is built into the overall budget that the Department approves.<br /><br />On the VDH side,  SPSS and SAS are utilized as for analysis.  The data sent by the contractor are maintained as data files to be used with those software packages.  <br /><br />Part of Healthy Vermonters 2020 and InstantAtlas",,,"Youth
Survey
Population",Survey,every 2 years since 1993,Other DB Format,In-House Server,1 - 100 MB,Data (deidentified) available to public with data use agreement,Public,"Web Application - Public
Report (PDF, Word)","We also follow the protocol for Data Release established by the Division of Health Surveillance in the VT Department of Health. <br />YRBS record level data that are de-identified are available to the public via the CDC website.  Those wanting additional variables (e.g., sub-geography) can request them from the VT.  ",Agency restriction,No,$0.00,"Yes.  Per the Secretary of State’s Office, any request over 30 minutes is subject to a charge based on the published cost sheet for state services and materials.<br /><br />Anything under 30 minutes is free, but subject to our resources and availability.<br />YRBS coordinator<br />Kristen Murray, Kristen.murray@vermont.gov, 802-863-7276<br /><br />",Complete,,"On disk, file available",$0.00,$128000.00,1,95,5,0,0,High,No,"There is extensive data available from the YRBS in the form of reports and through the healthy vermonters Atlas. Data are aggregated at the district, county, and HSA level. The online Atlas has an ""Export"" button but the link does not work. Despite the wealth of data there is not way to access the data online through the web. There is some ability to export data from the CDC website. Reports should be made available through Socrata and aggregate data in a downloadable format should also be made available. Questions: Whats the cost of the Atlas?  Also Dashboard format.",Mallory Staskus,,,,
Behavioral Risk Factor Surveillance System (BRFSS),Behavioral Risk Factor Surveillance System (BRFSS),Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/brfss/brfss.aspx,Jessie Hammond,jessie.hammond@vermont.gov,(802) 863-7663,"Vermont tracks risk behaviors using a telephone survey of adults called the Behavioral Risk Factor Surveillance Survey (BRFSS). The results are used to plan, support, and evaluate health promotion and disease prevention programs. These are used to track Department of Health goals, such as Healthy Vermonters 2020, and many other BRFSS data reports.<br /><br />Since 1990, Vermont, along with the 49 other states and three territories, has participated in the BRFSS with the Centers for Disease Control and Prevention(exit VDH). The CDC provides the Vermont Department of Health with funding each year to carry out the survey. Currently, ICF Macro in Burlington, Vermont is the interviewing contractor for the Vermont BRFSS.<br /><br />More than 6,000 Vermonters are randomly and anonymously selected and called annually. An adult (18 or older) in the household is asked a uniform set of questions. The results are weighted to represent the adult population of the state.<br /><br />In 2009, Vermont started interviewing adult residents on cellular telephones as well as landline telephones.  This change ensures the survey is conducted among a representative sample of Vermont adults. The inclusion of cellular telephones was in response to changing telephone patterns, as more household use now use primarily cellular telephones.",,,"Survey
Population",Survey,1990 - Present,Other DB Format,In-House Server,100 MB - 1 GB,De-identified dataset is available to the public on the CDC website,,"Other db format
Web Application - Public
Report (PDF, Word)","The BRFSS data contains protected health information, and is limited by HIPAA. We also follow the protocol for Data Release established by the Division of Health Surveillance in the VT Department of Health. <br />b.      Details regarding restriction<br />The BRFSS is a survey, but there are some questions on the survey that when combined with others potentially make the data identifiable.  Release of that data is limited based on HIPAA and AHS/VDH policy.  Access to these questions requires a data use agreement.<br />","Agency Data Use Agreement, Agency restriction, Other",No,$0.00,,Complete,,Available by Download,$50000.00,$497000.00,2,65,35,0,0,High,Yes,,Barbara Patterson,,,,
Health Care Provider Surveys (Census),Health Care Provider Surveys,Department of Health (AHS) / Division of Health Surveillance,Department of Health (AHS) / Division of Health Surveillance,http://healthvermont.gov/research/HlthCarePrvSrvys/HealthCareProviderSurveys.aspx,Moshe Braner,moshe.braner@state.vt.us,(802) 865-7703,"The health of Vermonters depends, in part, on access to health care.  The Vermont Department of Health therefore needs to measure the supply of health care providers, including their distribution by geography and specialty.  These data are used as the basis for policy analysis, shortage area designations, and recruitment and retention activities.<br /><br />The Vermont Department of Health has been collecting information on health care providers since 1992.  Physicians (MD's and DOs), Dentists and Physician Assistants are surveyed every two years at the time of their relicensing.  Surveys have also been conducted of APRN's  in 1998, 2000, and 2002 – more recent surveys of APRN's have been done by UVM but not the Department of Health.<br /><br />The surveys are intended to include all active providers, acting as a census rather than a sample survey.  For that purpose the respondents are compared with lists of licensees (from the board of medical practice or the secretary of state), and follow-up is conducted to reach those who did not respond.  Final response rate is usually above 99%.  Included in the surveys and reports are those practitioners who provide patient care in Vermont.  Excluded are the substantial number of providers, mainly physicians, who maintain Vermont licenses even though they do not practice in Vermont.<br /><br />The data collected includes specialty, practice setting, town(s) of practice and the number of hours per week in clinical practice.  This allows us to calculate full-time equivalency (FTE's) by specialty and by geographic region.  Information on whether practitioners are accepting new patients is also collected.<br /><br />Reports linked below include both summary reports of survey highlights and detailed statistical reports, ordered by provider type and year of survey.  For questions about the surveys or reports, please contact:",,Health Care Provider Surveys (Census),"Workforce
Survey
Provider Information",Survey,select years between 1979 and 2012,Other DB Format,In-House Server,100 MB - 1 GB,"Data available to researchers with data use agreement, reports (pdf) available to public",,"Other db format
MS Excel
Report (PDF, Word)",summaries available on VDH website,Agency restriction,No,$0.00,,Incomplete,,Available by Download,$24500.00,$278000.00,2,90,10,,,High,Yes,Stone Recommendations: The data from these surveys should be made available in Socrata. The following are options: 1)Add each Statistical Summary PDF should be added as a record in Socrata 2)Aggregated data sets from the survey should be added to Socrata as CSV so that they can be downloaded and used by others,Mallory Staskus,,Licensure,,
