Town_ID,Town_Name,County,Type,Population,Square_KM,Square_MI,Altitude,Postal_Code,URL,Incorporated_Villages,Clerk_First_Name,Clerk_Last_Name,Mailing_Address,Mailing_City,Mailing_State,Mailing_Zip,Physical_Address,Physical_City,Physical_State,Physical_Zip,Office_Phone,Office_Fax,Clerk_Email,Clerk_Hours,Location 1
7,Averill,Essex,Town,8,98.6,38.1,1744,05901,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
8,Avery's Gore,Essex,NULL,0,45.6,17.6,2251,05907,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
36,Buels Gore,Chittenden,NULL,12,13.1,5.1,1165,05487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
75,Ferdinand,Essex,Town,33,137.9,53,1275,05905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
80,Glastenbury,Bennington,Town,16,115.2,44.5,1200,05262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
114,Lewis,Essex,Town,0,102.7,39.7,1711,05903,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
187,Somerset,Windham,Town,5,72.9,28.1,2000,05356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
222,Warner's Grant,Essex,NULL,0,8.2,3.2,1285,05907,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
224,Warren's Gore,Essex,NULL,10,30,11.6,1789,05907,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL
NULL, NULL NULL
"
2,Albany,Orleans,Town,840,100.2,38.7,956,05820,,Albany,Debra Ann,Geoffroy,P.O. Box 284,Albany,VT,05820,827 Main Street,Albany,VT,05820,802-755-6100,NULL,albany@gaw.com,T Th 9-4; W 9-7,"827 Main Street
Albany, VT 05820
(44.731394022000075, -72.37951769999995)"
37,Burke,Caledonia,Town,1571,88.2,34.1,900,05871,http://www.burkevermont.org/,West Burke,Priscilla,Aldrich,212 School St,West Burke,VT,05871,212 School St,West Burke,VT,05871,802-467-3717,802-467-8623,burke@burkevermont.org,M-F 8-4 ,"212 School St
West Burke, VT 05871
(44.64535544300003, -71.97954915899999)"
82,Goshen,Addison,Town,227,55.4,21.4,1136,05733,http://goshenvt.org/,NULL,Rosemary,McKinnon,50 Carlisle Hill Rd,Goshen,VT,05733,50 Carlisle Hill Rd,Goshen,VT,05733,802-247-6455,802-247-6740,townclerk@goshenvt.org,T 9-1,"50 Carlisle Hill Rd
Goshen, VT 05733
(43.84964723600007, -73.02245984099994)"
32,Brookfield,Orange,Town,1222,107.9,41.7,1325,05036,http://www.brookfieldvt.org/,NULL,Jane,Woodruff,P.O. Box 463,Brookfield,VT,05036,40 Ralph Road,Brookfield,VT,05036,802-276-3352,802-376-3926,Btownhall@aol.com,T-Th 8:30-12 and 1-4:30,"40 Ralph Road
Brookfield, VT 05036
(44.043227124000055, -72.60283798099994)"
231,West Fairlee,Orange,Town,726,59.1,22.8,752,05083,http://www.westfairleevt.com,NULL,Rhonda,Cook,870 Route 113,West Fairlee,VT,05083,870 Route 113,West Fairlee,VT,05083,802-333-9696,802-333-9611,westfairleetc@hotmail.com,M-W 9:30-12 and 1-3:30,"870 Route 113
West Fairlee, VT 05083
(43.90970301200008, -72.26280307499997)"
71,Fairfax,Franklin,Town,3765,104.9,40.5,349,05454,NULL,NULL,Deborah,Woodward,P.O. Box 27,Fairfax,VT,05454,67 Hunt St,Fairfax,VT,05454,802-849-6111 x2,802-849-6276,fairfaxtownclerk@live.com,M 9-4 and 6-8 p.m.; T-F 9-4,"67 Hunt St
Fairfax, VT 05454
(44.66298650700003, -73.01211004599998)"
69,Essex,Chittenden,Town,18626,101.8,39.3,492,05452,http://www.essex.org/,Essex Junction,Cheryl,Moomey,81 Main Street,Essex Junction,VT,05452,81 Main Street,Essex Junction,VT,05452,802-879-0413,802-878-1353,cmoomey@essex.org,M-F 7:30-4:30,"81 Main Street
Essex Junction, VT 05452
(44.49411384600006, -73.10513606099994)"
198,Stockbridge,Windsor,Town,674,119.6,46.2,734,05772,NULL,NULL,Catherine,Brown,P.O. Box 39,Stockbridge,VT,05772,1722 VT Route 100,Stockbridge,VT,05772,802-746-8400,802-746-8400,townofstockbridge@myfairpoint.net,T-Th 8-4:30; F 8-12,"1722 VT Route 100
Stockbridge, VT 05772
(43.77565345900007, -72.76530165099996)"
23,Bolton,Chittenden,Town,971,110.8,42.8,342,05676,http://www.boltonvt.com/,NULL,Deborah,La Riviere,3045 Roosevelt Highway,Waterbury,VT,05676,3045 Roosevelt Highway,Bolton,VT,05676,802-434-5075 x222,802-434-6404,Deborah@townofboltonvt.com,M-Th 8-4,"3045 Roosevelt Highway
Bolton, VT 05676
(44.342138687000045, -72.76712919699997)"
34,Brownington,Orleans,Town,885,73.6,28.4,1025,05860,NULL,NULL,Cheryl,Perry,P.O. Box 66,Orleans,VT,05860,622 Schoolhouse Road,Brownington,VT,05860,802-754-8401,802-754-8401,browningtontc@comcast.net,M W Th 9-4; and by appt.,"622 Schoolhouse Road
Brownington, VT 05860
(44.819556256000055, -72.13470160099996)"
161,Proctor,Rutland,Town,1877,19.7,7.6,500,05765,http://proctorvermont.com/,NULL,Mary,Dahlin,45 Main Street,Proctor,VT,05765,45 Main Street,Proctor,VT,05765,802-459-3333,802-459-2356,info@proctorvermont.com,M-F 8-4,"45 Main Street
Proctor, VT 05765
(43.662240223000026, -73.03579005099994)"
39,Cabot,Washington,Town,1213,99.8,38.5,1076,05647,http://www.cabotvt.us/,Cabot,Tara,Rogerson,P.O. Box 36,Cabot,VT,05647,3084 Main Street,Cabot,VT,05647,802-563-2279,802-563-2423,tcocabot@fairpoint.net,M-Th 9-5,"3084 Main Street
Cabot, VT 05647
(44.402326533000064, -72.31120928099995)"
70,Fair Haven,Rutland,Town,2928,47,18,400,05743,http://www.fairhavenvt.org/,NULL,Suzanne,Dechame,3 North Park Place,Fair Haven,VT,05743,3 North Park Place,Fair Haven,VT,05743,802-265-3610 x4,802 -265-3176,sdclerk@comcast.net,M-F 8-4,"3 North Park Place
Fair Haven, VT 05743
(43.594894400000044, -73.26614163699998)"
98,Holland,Orleans,Town,588,99,38.2,1405,05830,NULL,NULL,Diane,Judd,120 School Road,Derby Line,VT,05830,120 School Road,Holland,VT,05830,802-895-4440,802-895-4440,holland1805@hotmail.com,M T Th 8-4:30,"120 School Road
Holland, VT 05830
(44.97441717000004, -72.01340319899998)"
146,Norton,Essex,Town,214,102,39.4,1252,05907,NULL,NULL,Gina,Vigneault,12 VT Route 114 E,Norton,VT,05907,12 VT Route 114 E,Norton,VT,05907,802-822-9935,802-822-9965,townofnorton@myfairpoint.net,M 2-4; T 10-4; Last Sat. 10-12,"12 VT Route 114 E
Norton, VT 05907
(45.00920340600004, -71.79522900799998)"
242,Whiting,Addison,Town,380,35.4,13.7,390,05778,NULL,NULL,Grace,Simonds,29 South Main Street,Whiting,VT,05778,29 South Main Street,Whiting,VT,05778,802-623-7813,802-623-7813,townofwhiting@shoreham.net,M W 9-12 and 4-6; F 9-12; and by appt.,"29 South Main Street
Whiting, VT 05778
(43.862040027000035, -73.20105430399997)"
137,Mount Tabor,Rutland,Town,203,113.4,43.8,1670,05739,NULL,NULL,William,Basso II,P.O. Box 245,Mount Tabor,VT,05739,522 Brooklyn Road,Mount Tabor,VT,05739,802-293-5282,802-293-5287,mttabor@vermontel.net,T W 9-12; and by appt.,"522 Brooklyn Road
Mount Tabor, VT 05739
(43.35042344400006, -72.98333987299998)"
76,Ferrisburgh,Addison,Town,2657,158.4,61.2,218,05456,http://www.ferrisburghvt.org/,NULL,Chet,Hawkins,P.O. Box 6,Ferrisburgh,VT,05456,3279 Route 7,Ferrisburgh,VT,05456,802-877-3429,802-877-6757,ferrisburghclerk@comcast.net,M-F 8-4,"3279 Route 7
Ferrisburgh, VT 05456
(44.207722267000065, -73.24547476799995)"
203,Sunderland,Bennington,Town,850,118.2,45.6,659,05252,http://www.sunderlandvt.org/,NULL,Rose,Keough,P.O. Box 295,East Arlington,VT,05252,181 South Road,Sunderland,VT,05252,802-375-6106,802-375-6106,town@sunderlandvt.org,M T Th 8-2; W 8-12 and 6-8 p.m.; Fri by appt.,"181 South Road
Sunderland, VT 05252
(43.05538629400007, -73.13114306199998)"
9,Bakersfield,Franklin,Town,1215,115.6,44.6,726,05441,NULL,NULL,Katherine,Westcom,P.O. Box 203,Bakersfield,VT,05441,40 East Bakersfield Road,Bakersfield,VT,05441,802-827-4495,802-827-3106,townclerk_bakersfield@comcast.net,M-F 9-12  ,"40 East Bakersfield Road
Bakersfield, VT 05441
(44.781961909000074, -72.80083571799997)"
116,Londonderry,Windham,Town,1709,92.9,35.9,1100,05155,http://www.londonderryvt.org,NULL,James,Twitchell,P.O. Box 118,South Londonderry,VT,05155,100 Old School Street,South Londonderry,VT,05155,802-824-3356,802-824-4259,londontown@vermontel.net,T-F 9-3; Sat. 9-12,"100 Old School Street
South Londonderry, VT 05155
(43.19092229100005, -72.81074534199996)"
235,Westfield,Orleans,Town,503,104.1,40.2,825,05874,NULL,NULL,Connie,LaPlume,38 School Street,Westfield,VT,05874,38 School Street,Westfield,VT,05874,802-744-2484,802-744-6224,townofwestfield@comcast.net,M-Th 8-4,"38 School Street
Westfield, VT 05874
(44.89021648100004, -72.42949100999994)"
41,Cambridge,Lamoille,Town,3186,164.9,63.7,454,05464,http://www.townofcambridgevt.org/,"Cambridge, Jeffersonville",Jane,Porter,P.O. Box 127,Jeffersonville,VT,05464,"85 Church St, Suite 201",Jeffersonville,VT,05464,802-644-2251,802-644-8248,jane.cto@myfairpoint.net,M-F 8-4,"85 Church St, Suite 201
Jeffersonville, VT 05464
(44.64385171500004, -72.83130204899999)"
105,Jamaica,Windham,Town,946,128.1,49.5,688,05343,http://www.jamaicavermont.org/,NULL,Pat,Meulemans,P.O. Box 173,Jamaica,VT,05343,28 Town Office Road,Jamaica,VT,05343,802-874-4681,802-874-4681,jamaicatownclerk@svcable.net,M-Th 9-4,"28 Town Office Road
Jamaica, VT 05343
(43.09982923600006, -72.77927339699994)"
