Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13C100006,01/01/2013 01:17:00 AM,VSP: Rutland,Drive/Operate Under Influence,Rutland Town,Rutland,Rutland,23V1201,VSP: Rutland,Male,57,1
13C200008,01/01/2013 01:45:00 AM,VSP: New Haven,Drive/Operate Under Influence|Accident - Property,Bristol,Addison,Addison,23V1201,VSP: New Haven,Male,21,1
13B100006,01/01/2013 01:49:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Unknown,Unknown,Unknown,23V1201A1#3/R,VSP: Saint Johnsbury,Male,37,1
13B200006,01/01/2013 02:02:00 AM,VSP: Derby,Agency Assist|Drive/Operate Under Influence,Troy,Orleans,Orleans,23V1201,VSP: Derby,Male,66,1
13A200007,01/01/2013 03:12:00 AM,VSP: Saint Albans,Drive/Operate Under Influence|Drugs - Possession|Other,St. Albans City,Franklin,Franklin,23V1201A3#1,VSP: Saint Albans,Male,24,1
13B100009,01/01/2013 03:35:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Property,St. Johnsbury,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,24,1
13C100011,01/01/2013 06:26:00 AM,VSP: Rutland,Drugs - Possession|False Information to Police|Intoxicated Person|Citizen Assist|Drive/Operate Under Influence,Killington,Rutland,Rutland,23V1201,VSP: Rutland,Male,33,1
13C100011,01/01/2013 06:26:00 AM,VSP: Rutland,Drugs - Possession|False Information to Police|Intoxicated Person|Citizen Assist|Drive/Operate Under Influence,Killington,Rutland,Rutland,23V1201,VSP: Rutland,Female,21,1
13C300011,01/02/2013 01:17:00 AM,VSP: Shaftsbury,Drive/Operate Under Influence,Bennington,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,36,1
13A100058,01/03/2013 12:04:00 PM,VSP: Williston,Accident - Injury|Drive/Operate Under Influence,Unknown,Unknown,Unknown,23V1201,VSP: Williston,Male,32,1
13D200024,01/03/2013 01:26:00 PM,VSP: Other,Drive/Operate Under Influence|Other,Guilford,Windham,Windham,23V1201,VSP: Headquarters,Male,41,1
13C300028,01/03/2013 04:10:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Agency Assist,Dorset,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,48,1
13C100053,01/03/2013 08:15:00 PM,VSP: Rutland,Drive/Operate Under Influence|Traffic Stop,Wells,Rutland,Rutland,23V1201,VSP: Rutland,Male,56,1
13B100051,01/03/2013 11:10:00 PM,VSP: Saint Johnsbury,Accident - Property|Accident - Property|Disturbing the Peace|Drive/Operate Under Influence|Trespassing|K9|C&N Operation,Burke,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,23,1
13C200058,01/04/2013 11:19:00 PM,VSP: New Haven,Violate Conditions of Release|Drive/Operate Under Influence|DLS,New Haven,Addison,Addison,23V1201,VSP: New Haven,Female,33,1
13D100062,01/05/2013 01:00:00 PM,VSP: Rockingham,Drive/Operate Under Influence,Weathersfield,Windsor,Windsor,23V1201,VSP: Rockingham,Female,57,1
