Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13C200008,01/01/2013 01:45:00 AM,VSP: New Haven,Drive/Operate Under Influence|Accident - Property,Bristol,Addison,Addison,23V1201,VSP: New Haven,Male,21,1
13B100009,01/01/2013 03:35:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Property,St. Johnsbury,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,24,1
13A100058,01/03/2013 12:04:00 PM,VSP: Williston,Accident - Injury|Drive/Operate Under Influence,Unknown,Unknown,Unknown,23V1201,VSP: Williston,Male,32,1
13B100051,01/03/2013 11:10:00 PM,VSP: Saint Johnsbury,Accident - Property|Accident - Property|Disturbing the Peace|Drive/Operate Under Influence|Trespassing|K9|C&N Operation,Burke,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,23,1
13A300161,01/11/2013 09:10:00 AM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property,Duxbury,Washington,Washington,23V1201,VSP: Middlesex,Male,19,1
13B200145,01/12/2013 04:30:00 AM,VSP: Derby,Accident - Property|Drive/Operate Under Influence|Accident - Property,Derby,Orleans,Orleans,23V1201,VSP: Derby,Male,62,1
13C100304,01/16/2013 04:27:00 PM,VSP: Rutland,Accident - Injury|Drive/Operate Under Influence,Pittsford,Rutland,Rutland,23V1201,VSP: Rutland,Female,53,1
13B300101,01/18/2013 06:20:00 PM,VSP: Bradford,Drive/Operate Under Influence|Accident - Injury|Drive/Operate Under Influence,Bradford,Orange,Orange,23V1201,VSP: Bradford,Male,65,1
13C300203,01/21/2013 12:37:00 AM,VSP: Shaftsbury,Accident - Injury|Drive/Operate Under Influence,Searsburg,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,45,1
13C300215,01/22/2013 04:50:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Property|Other,Pownal,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,42,1
13A200371,01/22/2013 07:59:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Injury,Georgia,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,25,1
13D100257,01/22/2013 11:09:00 PM,VSP: Rockingham,Accident - Property|Drive/Operate Under Influence,Weathersfield,Windsor,Windsor,23V1201,VSP: Rockingham,Male,25,1
13C300237,01/24/2013 05:31:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Injury,Pownal,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,23,1
13C300237,01/24/2013 05:31:00 PM,VSP: Shaftsbury,Accident - Injury|Drive/Operate Under Influence,Pownal,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,23,1
13B200271,01/25/2013 04:45:00 PM,VSP: Derby,Accident - Injury|Drive/Operate Under Influence,Ferdinand,Essex,Essex,23V1201,VSP: Derby,Male,56,1
13C200299,01/25/2013 09:22:00 PM,VSP: New Haven,Accident - Property|Drive/Operate Under Influence,Ferrisburgh,Addison,Addison,23V1201,VSP: New Haven,Female,29,1
13D300345,01/26/2013 12:14:00 AM,VSP: Royalton,Drive/Operate Under Influence|Accident - Property,Randolph,Orange,Orange,23V1201,VSP: Royalton,Female,27,1
13D200210,01/26/2013 12:46:00 AM,VSP: Brattleboro,Accident - Property|Drive/Operate Under Influence,Dummerston,Windham,Windham,23V1201,VSP: Brattleboro,Female,30,1
13A300374,01/27/2013 01:30:00 AM,VSP: Middlesex,Accident - Property|Drive/Operate Under Influence,Warren,Washington,Washington,23V1201,VSP: Middlesex,Male,22,1
13B100320,01/27/2013 02:50:00 PM,VSP: Saint Johnsbury,Accident - Property|Drive/Operate Under Influence,Concord,Essex,Essex,23V1201,VSP: Saint Johnsbury,Male,31,1
13D200253,01/29/2013 02:40:00 AM,VSP: Brattleboro,Accident - Property|Drive/Operate Under Influence,Brattleboro,Windham,Windham,23V1201,VSP: Brattleboro,Male,35,1
