Crash ID,Agency,Crash Date,City,Street,Crash Year,Crash Day,Crash Hour,Road Conditions,Crash Circumstances,Crash Role,Injury,Seatbelt,Gender,Age,GeoLocation,Count
148330,VSP - A2 St. Albans,06/01/2014,Fletcher,TOWN ROAD 0028,2014,Sunday,15:00,Other - Explain in Narrative,Under the influence of medication/drugs/alcohol,Driver/Owner,Fatality,Yes,Male,60,"(44.65999, -72.92097)",1
102989,VSP - C3 Shaftsbury,07/02/2010,Searsburg,VT-9,2010,Friday,16:00,None,Failure to keep in proper lane,Driver/Owner,Fatality,Yes,Female,88,"(42.89642119, -73.00020225)",1
152990,VSP - A1 Williston,11/02/2014,Williston,I-89,2014,Sunday,6:00,Unknown,Other improper action,Driver/Owner,Fatality,No,Male,52,"(73.03828, -44.43066)",1
145529,VSP - D3 Royalton,01/15/2014,Rochester,VT-100,2014,Wednesday,9:00,None,,Pedestrian,Fatality,No,Male,87,"(43.87355, -72.80814)",1
122206,VSP - D3 Royalton,01/15/2012,Bridgewater,US-4,2012,Sunday,12:00,None,No improper driving,Driver,Fatality,No,Male,56,"(43.60312, -72.73956)",1
122206,VSP - D3 Royalton,01/15/2012,Bridgewater,US-4,2012,Sunday,12:00,None,No improper driving,Passenger,Fatality,No,Male,10,"(43.60312, -72.73956)",1
103044,VSP - D3 Royalton,06/04/2010,Hartland,US-5,2010,Friday,22:00,None,Operating vehicle in erratic- reckless- careless- negligent- or aggressive manner,Driver,Fatality,No,Male,21,"(43.79216463, -72.26283125)",1
126705,VSP - A3 Middlesex,06/26/2012,Fayston,VT-17,2012,Tuesday,20:00,Road Surface Condition(wet- icy- snow- slush- etc),Driving too fast for conditions,Driver/Owner,Fatality,Yes,Male,32,"(44.18711, -72.87903)",1
106658,VSP - C2 New Haven,10/04/2010,Ferrisburgh,US-7,2010,Monday,8:00,None,Failed to yield right of way,Driver/Owner,Fatality,Yes,Female,68,"(44.15282091, -73.04536897)",1
162275,VSP - D3 Royalton,08/17/2015,Norwich,I-91,2015,Monday,15:00,None,,Pedestrian,Fatality,No,Male,54,"(43.73449, -72.27457)",1
146074,VSP - C3 Shaftsbury,02/11/2014,Sandgate,TOWN ROAD 0002,2014,Tuesday,15:00,None,Failure to keep in proper lane,Driver,Fatality,No,Female,26,"(43.15402, -73.21147)",1
159594,VSP - C3 Shaftsbury,05/24/2015,Woodford,VT-9,2015,Sunday,16:00,None,Failure to keep in proper lane,Driver/Owner,Fatality,No,Male,42,"(42.87866, -73.11672)",1
137908,VSP - B1 St. Johnsbury,05/18/2013,Lyndon,VT-122,2013,Saturday,14:00,Shoulders (none- low- soft- high),Failure to keep in proper lane,Passenger,Fatality,No,Female,84,"(44.56298, -72.05734)",1
159594,VSP - C3 Shaftsbury,05/24/2015,Woodford,VT-9,2015,Sunday,16:00,None,Failure to keep in proper lane,Passenger,Fatality,No,Female,41,"(42.87866, -73.11672)",1
157318,VSP - B1 St. Johnsbury,01/23/2015,St. Johnsbury,I-91,2015,Friday,20:00,Road Surface Condition(wet- icy- snow- slush- etc),Driving too fast for conditions,Driver/Owner,Fatality,No,Male,29,"(44.47337, -72.02472)",1
157318,VSP - B1 St. Johnsbury,01/23/2015,St. Johnsbury,I-91,2015,Friday,20:00,Road Surface Condition(wet- icy- snow- slush- etc),Driving too fast for conditions,Passenger,Fatality,No,Male,37,"(44.47337, -72.02472)",1
160147,VSP - A2 St. Albans,05/22/2015,Georgia,MinCollector,2015,Friday,23:00,None,Operating vehicle in erratic- reckless- careless- negligent- or aggressive manner,Driver/Owner,Fatality,No,Male,20,"(44.75593, -73.15746)",1
