Store_Name,Address,Address Line #2,City,State,Zip,Zip4,County,Location 1
NATURAL PROVISIONS,537 Railroad St,,St Johnsbury,VT,5819,1635,CALEDONIA ,"(44.420277, -72.015343)"
INDO-AMERICAN GROCERY,69 Elliot St,,Brattleboro,VT,5301,,WINDHAM ,"(42.851948, -72.55954)"
RIVER STREET VARIETY STORE,138 River St,,Bennington,VT,5201,1832,BENNINGTON ,"(42.882069, -73.199089)"
Rite Aid 4272,1024 North Ave,,Burlington,VT,5408,2753,CHITTENDEN ,"(44.504543, -73.241615)"
A Taste of Europe LLC,1295 Williston Rd,,South Burlington,VT,5403,5721,CHITTENDEN ,"(44.467072, -73.172241)"
Sunflower Natural Foods,2934 Waterbury-Stowe Rd,,Waterbury Center,VT,5677,7028,WASHINGTON ,"(44.373318, -72.72628)"
CORNER MARKET,150 Benmont Ave,,Bennington,VT,5201,1801,BENNINGTON ,"(42.883545, -73.202042)"
"RAYS MEAT & GROCERY MARKET, INC",100 PARK AVENUE,,IRASBURG,VT,5845,,ORLEANS ,"(44.80238, -72.278603)"
BESSERY'S QUALITY MARKET,1398 North Ave,,Burlington,VT,5408,2495,CHITTENDEN ,"(44.512325, -73.25209)"
THE MORGAN COUNTRY STORE,8411 VT Rte 111,,Morgan,VT,5853,9801,ORLEANS ,"(44.913265, -72.014618)"
Shiva Ram LLC,357 Main St,,Winooski,VT,5404,1335,CHITTENDEN ,"(44.499603, -73.183678)"
Rite Aid 10335,502 Railroad St,,St Johnsbury,VT,5819,1633,CALEDONIA ,"(44.419853, -72.015343)"
Rite Aid 10318,39 Hinesburg Rd,,South Burlington,VT,5403,6526,CHITTENDEN ,"(44.465801, -73.171188)"
Rite Aid 10325,133 N Main St Ste 23,,Saint Albans,VT,5478,1735,FRANKLIN ,"(44.814178, -73.082726)"
Rite Aid 10338,59 Waterfront Plz,Ste 2,Newport,VT,5855,4877,ORLEANS ,"(44.939972, -72.205322)"
CHELSEA COUNRY STORE,289 MAIN STREET,,CHELSEA,VT,5038,,ORANGE ,"(43.992336, -72.460884)"
WESTFIELD GENERAL STORE,17 N Hill Rd,,Westfield,VT,5874,9659,ORLEANS ,"(44.889301, -72.428749)"
Rite Aid 10329,355 N Main St,,Barre,VT,5641,4106,WASHINGTON ,"(44.201992, -72.507141)"
WILLY'S VARIETY,300 Gage St,,Bennington,VT,5201,2512,BENNINGTON ,"(42.881618, -73.193085)"
SHAW'S SUPERMARKET 07649,820 Waterbury Stowe Rd,,Waterbury,VT,5676,9730,WASHINGTON ,"(44.346813, -72.745529)"
GRANITEVILLE GENERAL STORE,652 Graniteville Rd,,Graniteville,VT,5654,,WASHINGTON ,"(44.150646, -72.489021)"
BENSON VILLAGE STORE,774 Lake Rd,,Benson,VT,5731,9701,RUTLAND ,"(43.706696, -73.311859)"
Bellow Falls Farmers Market,17 Depot Sq,,Bellows Falls,VT,5101,1357,WINDHAM ,"(43.13586, -72.444847)"
J & J Corner Store,12 MALLETTS BAY AVENUE,,WINOOSKI,VT,5404,,CHITTENDEN ,"(44.491749, -73.189407)"
PRICE CHOPPER 219,56 COMMONS DRIVE,,DERBY,VT,5829,,ORLEANS ,"(44.954967, -72.083099)"
WINDING BROOK FARM LLC,1224 Laporte Rd,,Morrisville,VT,5661,8319,LAMOILLE ,"(44.551441, -72.615288)"
MOUNTAIN PAULS GENERAL STORE,5 Bellows Falls Rd,,Putney,VT,5346,,WINDHAM ,"(42.975498, -72.52166)"
BUXTONS STORE,499 Main St,,Orwell,VT,5760,,ADDISON ,"(43.803665, -73.298424)"
FLANDERS MARKET LTD,359 VT Rte 110,,Chelsea,VT,5038,8994,ORANGE ,"(43.997379, -72.448921)"
CABOT VILLAGE STORE,3109 MAIN ST,,CABOT,VT,5647,,WASHINGTON ,"(44.403011, -72.310654)"
SWEET CLOVER MARKET,21 Essex Way,Ste 418,Essex Junction,VT,5452,3300,CHITTENDEN ,"(44.50766, -73.079086)"
DOLLAR GENERAL 10721,63 Creek Farm Plz,,Colchester,VT,5446,7892,CHITTENDEN ,"(44.551105, -73.165237)"
KINNEY DRUGS 21,82 Pearl St,,Essex Junction,VT,5452,3642,CHITTENDEN ,"(44.494274, -73.119797)"
MARTINS MINI MART,301 Main St,,Bennington,VT,5201,2112,BENNINGTON ,"(42.879288, -73.199066)"
HARBORSIDE HARVEST MARKET,8986 US Route 2,,North Hero,VT,5474,9746,GRAND ISLE ,"(44.882961, -73.271866)"
