Date,Percipitation in.,Snow Depth in.,Snowfall in.,Max Temp F,Min Temp F,Ave Wind Spd mph,FOG,Sleet,Smoke/Haze,Thunder
06/01/1948,0,0,0,80.06,42.98,,false,false,false,false
06/02/1948,0,0,0,78.98,48.02,,false,false,false,false
06/03/1948,0,0,0,82.04,48.02,,false,false,false,false
06/04/1948,0,0,0,84.02,50,,false,false,false,false
06/05/1948,0.15,0,0,62.06,48.92,,false,false,false,false
06/06/1948,0,0,0,69.08,33.98,,false,false,false,false
06/07/1948,0.26,0,0,59,42.98,,false,false,false,false
06/08/1948,1.08,0,0,57.92,51.08,,false,false,false,false
06/09/1948,0.14,0,0,62.06,51.98,,false,false,false,false
06/10/1948,0.03,0,0,57.92,46.04,,false,false,false,false
06/11/1948,0,0,0,57.92,44.06,,false,false,false,false
06/12/1948,0.18,0,0,66.02,51.08,,false,false,false,false
06/13/1948,0.15,0,0,57.92,48.92,,false,false,false,false
06/14/1948,0,0,0,73.04,44.06,,false,false,false,false
06/15/1948,0.01,0,0,68,48.02,,false,false,false,false
06/16/1948,0,0,0,68,39.02,,false,false,false,false
06/17/1948,0.01,0,0,68,42.08,,false,false,false,false
06/18/1948,0.05,0,0,66.92,44.06,,false,false,false,false
06/19/1948,0.05,0,0,69.08,48.02,,false,false,false,false
06/20/1948,0.01,0,0,75.92,39.92,,false,false,false,false
06/21/1948,0,0,0,69.08,50,,false,false,false,false
06/22/1948,0,0,0,73.94,42.98,,false,false,false,false
06/23/1948,0.44,0,0,57.92,48.02,,false,false,false,false
06/24/1948,0.24,0,0,86,55.04,,false,false,false,false
06/25/1948,0.01,0,0,78.98,57.92,,false,false,false,false
06/26/1948,0,0,0,78.98,55.04,,false,false,false,false
06/27/1948,0,0,0,78.08,60.98,,false,false,false,false
06/28/1948,0.03,0,0,78.98,64.94,,false,false,false,false
06/29/1948,0,0,0,89.96,66.02,,false,false,false,false
06/30/1948,0,0,0,87.98,64.04,,false,false,false,false
07/01/1948,0.07,0,0,77,60.08,,false,false,false,false
07/02/1948,0,0,0,75.02,53.96,,false,false,false,false
07/03/1948,0,0,0,78.98,48.02,,false,false,false,false
07/04/1948,0,0,0,78.08,59,,false,false,false,false
07/05/1948,0.2,0,0,78.98,55.94,,false,false,false,false
07/06/1948,1.28,0,0,73.04,53.06,,false,false,false,false
07/07/1948,0.23,0,0,73.94,46.94,,false,false,false,false
07/08/1948,0,0,0,78.08,46.04,,false,false,false,false
07/09/1948,0,0,0,82.94,48.02,,false,false,false,false
07/10/1948,0,0,0,87.98,57.92,,false,false,false,false
07/11/1948,0,0,0,89.06,62.06,,false,false,false,false
07/12/1948,0,0,0,89.06,64.04,,false,false,false,false
07/13/1948,0.08,0,0,73.94,62.96,,false,false,false,false
07/14/1948,0,0,0,73.94,51.08,,false,false,false,false
07/15/1948,0,0,0,78.08,44.96,,false,false,false,false
07/16/1948,0,0,0,82.04,48.02,,false,false,false,false
07/17/1948,0,0,0,77,57.02,,false,false,false,false
07/18/1948,0,0,0,87.08,62.96,,false,false,false,false
07/19/1948,0,0,0,77,57.02,,false,false,false,false
07/20/1948,0,0,0,80.96,51.08,,false,false,false,false
07/21/1948,0.1,0,0,82.04,57.92,,false,false,false,false
07/22/1948,0,0,0,78.98,48.92,,false,false,false,false
07/23/1948,1.57,0,0,71.06,55.94,,false,false,false,false
07/24/1948,0.01,0,0,73.94,55.94,,false,false,false,false
07/25/1948,0,0,0,75.92,55.94,,false,false,false,false
07/26/1948,0.03,0,0,69.98,60.98,,false,false,false,false
07/27/1948,0,0,0,84.02,59,,false,false,false,false
07/28/1948,0.06,0,0,80.96,62.06,,false,false,false,false
07/29/1948,0,0,0,78.08,60.08,,false,false,false,false
07/30/1948,0.02,0,0,84.02,57.02,,false,false,false,false
07/31/1948,0,0,0,78.08,60.98,,false,false,false,false
08/01/1948,0,0,0,80.06,53.96,,false,false,false,false
08/02/1948,0,0,0,73.94,57.02,,false,false,false,false
08/03/1948,0,0,0,75.92,50,,false,false,false,false
08/04/1948,0,0,0,77,55.94,,false,false,false,false
08/05/1948,0.92,0,0,68,55.04,,false,false,false,false
08/06/1948,0.98,0,0,68,53.96,,false,false,false,false
08/07/1948,0,0,0,66.02,50,,false,false,false,false
08/08/1948,0,0,0,71.96,53.06,,false,false,false,false
08/09/1948,0,0,0,71.96,46.04,,false,false,false,false
08/10/1948,0,0,0,73.94,44.96,,false,false,false,false
08/11/1948,0.01,0,0,78.08,46.94,,false,false,false,false
08/12/1948,1.11,0,0,71.06,59,,false,false,false,false
08/13/1948,1.09,0,0,71.96,59,,false,false,false,false
08/14/1948,0.73,0,0,69.08,57.02,,false,false,false,false
08/15/1948,0,0,0,77,53.06,,false,false,false,false
08/16/1948,0,0,0,80.06,48.92,,false,false,false,false
08/17/1948,0,0,0,78.08,53.06,,false,false,false,false
08/18/1948,0,0,0,75.92,51.98,,false,false,false,false
08/19/1948,0.05,0,0,69.08,55.94,,false,false,false,false
08/20/1948,0,0,0,78.98,57.92,,false,false,false,false
08/21/1948,0.01,0,0,82.04,57.92,,false,false,false,false
